Date,buy HD,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,36.33
2004-02-13,0,36.17
2004-02-20,0,35.70
2004-02-27,0,36.31
2004-03-05,0,37.45
2004-03-12,0,36.09
2004-03-19,0,36.68
2004-03-26,0,36.93
2004-04-02,0,36.68
2004-04-09,0,
2004-04-16,0,36.20
2004-04-23,0,36.49
2004-04-30,0,35.19
2004-05-07,0,33.00
2004-05-14,0,33.80
2004-05-21,0,34.47
2004-05-28,0,35.92
2004-06-04,0,35.33
2004-06-11,0,
2004-06-18,0,35.37
2004-06-25,0,35.25
2004-07-02,11,34.69
2004-07-09,11,34.37
2004-07-16,11,33.92
2004-07-23,11,33.00
2004-07-30,11,33.72
2004-08-06,16,32.90
2004-08-13,18,33.14
2004-08-20,12,36.36
2004-08-27,10,36.59
2004-09-03,10,37.48
2004-09-10,13,37.54
2004-09-17,10,38.31
2004-09-24,10,38.43
2004-10-01,11,39.25
2004-10-08,12,39.02
2004-10-15,9,39.81
2004-10-22,9,39.17
2004-10-29,11,41.08
2004-11-05,14,42.29
2004-11-12,13,43.22
2004-11-19,13,42.70
2004-11-26,15,43.37
2004-12-03,17,41.79
2004-12-10,14,42.64
2004-12-17,16,42.01
2004-12-24,16,
2004-12-31,15,42.74
2005-01-07,19,41.42
2005-01-14,11,41.90
2005-01-21,10,40.90
2005-01-28,11,40.41
2005-02-04,11,42.42
2005-02-11,14,42.81
2005-02-18,8,42.02
2005-02-25,10,40.58
2005-03-04,8,40.09
2005-03-11,7,39.42
2005-03-18,10,38.88
2005-03-25,10,
2005-04-01,9,37.60
2005-04-08,11,37.48
2005-04-15,8,36.11
2005-04-22,8,36.02
2005-04-29,7,35.37
2005-05-06,10,37.16
2005-05-13,9,36.29
2005-05-20,9,39.63
2005-05-27,11,39.97
2005-06-03,11,39.72
2005-06-10,13,39.50
2005-06-17,9,40.20
2005-06-24,10,38.24
2005-07-01,11,39.49
2005-07-08,10,40.08
2005-07-15,9,41.61
2005-07-22,15,43.47
2005-07-29,12,43.51
2005-08-05,9,40.95
2005-08-12,9,41.28
2005-08-19,9,40.37
2005-08-26,13,39.81
2005-09-02,13,40.33
2005-09-09,9,41.22
2005-09-16,14,39.90
2005-09-23,14,38.53
2005-09-30,13,38.14
2005-10-07,13,37.80
2005-10-14,13,38.41
2005-10-21,11,39.65
2005-10-28,14,40.52
2005-11-04,7,41.36
2005-11-11,17,41.91
2005-11-18,12,42.44
2005-11-25,19,42.42
2005-12-02,16,41.67
2005-12-09,21,41.02
2005-12-16,18,42.50
2005-12-23,22,41.59
2005-12-30,25,40.48
2006-01-06,15,40.38
2006-01-13,22,41.91
2006-01-20,17,40.17
2006-01-27,20,40.00
2006-02-03,15,39.82
2006-02-10,15,39.22
2006-02-17,13,41.86
2006-02-24,17,41.63
2006-03-03,16,42.20
2006-03-10,12,41.25
2006-03-17,13,42.90
2006-03-24,9,43.12
2006-03-31,14,42.30
2006-04-07,15,42.10
2006-04-14,12,
2006-04-21,21,40.28
2006-04-28,16,39.93
2006-05-05,14,41.29
2006-05-12,15,40.00
2006-05-19,16,38.94
2006-05-26,22,38.67
2006-06-02,18,38.00
2006-06-09,11,36.95
2006-06-16,16,36.91
2006-06-23,15,36.41
2006-06-30,13,35.79
2006-07-07,20,35.37
2006-07-14,14,33.84
2006-07-21,15,33.85
2006-07-28,12,34.59
2006-08-04,17,34.71
2006-08-11,17,33.27
2006-08-18,17,34.77
2006-08-25,18,33.48
2006-09-01,23,34.64
2006-09-08,11,34.28
2006-09-15,21,37.22
2006-09-22,17,35.96
2006-09-29,22,36.27
2006-10-06,24,37.14
2006-10-13,24,36.90
2006-10-20,26,35.99
2006-10-27,21,37.07
2006-11-03,21,37.20
2006-11-10,23,36.64
2006-11-17,30,38.28
2006-11-24,46,37.72
2006-12-01,38,38.97
2006-12-08,35,38.80
2006-12-15,33,39.89
2006-12-22,34,38.89
2006-12-29,43,40.16
2007-01-05,42,39.79
2007-01-12,38,40.11
2007-01-19,26,40.55
2007-01-26,29,39.94
2007-02-02,32,40.83
2007-02-09,25,41.00
2007-02-16,24,41.44
2007-02-23,23,40.96
2007-03-02,20,39.01
2007-03-09,24,38.67
2007-03-16,24,37.51
2007-03-23,21,38.22
2007-03-30,28,36.74
2007-04-06,25,
2007-04-13,23,37.89
2007-04-20,17,39.21
2007-04-27,18,38.47
2007-05-04,18,38.90
2007-05-11,26,38.86
2007-05-18,24,38.88
2007-05-25,22,38.38
2007-06-01,23,39.21
2007-06-08,27,37.95
2007-06-15,20,37.95
2007-06-22,26,39.36
2007-06-29,25,39.35
2007-07-06,26,40.30
2007-07-13,26,40.87
2007-07-20,24,39.39
2007-07-27,24,36.75
2007-08-03,30,36.19
2007-08-10,33,35.92
2007-08-17,27,33.31
2007-08-24,27,34.68
2007-08-31,25,38.31
2007-09-07,29,34.21
2007-09-14,32,35.68
2007-09-21,30,34.47
2007-09-28,35,32.44
2007-10-05,32,34.22
2007-10-12,27,33.44
2007-10-19,35,30.76
2007-10-26,35,31.35
2007-11-02,39,30.40
2007-11-09,45,28.05
2007-11-16,45,29.07
2007-11-23,55,28.95
2007-11-30,51,28.56
2007-12-07,44,29.49
2007-12-14,51,26.63
2007-12-21,56,26.66
2007-12-28,80,26.68
2008-01-04,57,24.96
2008-01-11,44,24.71
2008-01-18,43,26.28
2008-01-25,42,28.53
2008-02-01,40,30.45
2008-02-08,34,27.97
2008-02-15,38,27.52
2008-02-22,41,27.77
2008-02-29,41,26.55
2008-03-07,33,25.88
2008-03-14,34,25.75
2008-03-21,39,
2008-03-28,38,27.38
2008-04-04,35,28.79
2008-04-11,34,28.17
2008-04-18,29,28.68
2008-04-25,29,29.78
2008-05-02,35,30.12
2008-05-09,26,27.98
2008-05-16,26,29.10
2008-05-23,30,26.77
2008-05-30,29,27.36
2008-06-06,27,27.18
2008-06-13,26,27.53
2008-06-20,30,26.25
2008-06-27,34,24.02
2008-07-04,34,
2008-07-11,30,21.58
2008-07-18,35,23.44
2008-07-25,29,23.80
2008-08-01,32,23.90
2008-08-08,29,26.37
2008-08-15,32,27.53
2008-08-22,32,27.11
2008-08-29,29,27.12
2008-09-05,34,28.59
2008-09-12,33,28.80
2008-09-19,34,27.37
2008-09-26,31,26.46
2008-10-03,33,23.81
2008-10-10,31,19.75
2008-10-17,30,20.21
2008-10-24,35,18.51
2008-10-31,34,23.59
2008-11-07,40,21.06
2008-11-14,39,20.54
2008-11-21,41,19.29
2008-11-28,51,23.11
2008-12-05,51,24.40
2008-12-12,45,23.47
2008-12-19,49,24.22
2008-12-26,69,23.56
2009-01-02,62,24.13
2009-01-09,47,23.86
2009-01-16,45,23.20
2009-01-23,39,21.72
2009-01-30,36,21.53
2009-02-06,36,23.53
2009-02-13,35,21.22
2009-02-20,34,19.46
2009-02-27,30,20.89
2009-03-06,34,18.00
2009-03-13,33,20.71
2009-03-20,34,22.16
2009-03-27,32,23.63
2009-04-03,31,25.00
2009-04-10,34,
2009-04-17,36,26.10
2009-04-24,36,26.31
2009-05-01,30,25.77
2009-05-08,35,25.50
2009-05-15,33,24.40
2009-05-22,34,22.86
2009-05-29,36,23.16
2009-06-05,35,24.17
2009-06-12,38,24.15
2009-06-19,34,23.52
2009-06-26,37,23.61
2009-07-03,30,
2009-07-10,31,22.52
2009-07-17,38,24.67
2009-07-24,34,25.32
2009-07-31,37,25.94
2009-08-07,36,27.26
2009-08-14,42,27.14
2009-08-21,42,27.50
2009-08-28,41,27.69
2009-09-04,41,27.03
2009-09-11,42,27.34
2009-09-18,54,28.23
2009-09-25,48,26.85
2009-10-02,45,26.03
2009-10-09,39,26.96
2009-10-16,42,27.26
2009-10-23,39,26.27
2009-10-30,37,25.09
2009-11-06,38,26.08
2009-11-13,41,27.34
2009-11-20,51,27.18
2009-11-27,74,27.61
2009-12-04,55,28.08
2009-12-11,55,28.49
2009-12-18,58,28.65
2009-12-25,73,
2010-01-01,70,
2010-01-08,51,28.98
2010-01-15,45,28.57
2010-01-22,41,27.72
2010-01-29,45,28.01
2010-02-05,47,27.98
2010-02-12,43,29.00
2010-02-19,40,30.15
2010-02-26,38,31.20
2010-03-05,43,31.80
2010-03-12,39,32.45
2010-03-19,37,32.36
2010-03-26,36,32.75
2010-04-02,40,
2010-04-09,39,33.25
2010-04-16,37,35.01
2010-04-23,37,36.39
2010-04-30,44,35.23
2010-05-07,37,33.43
2010-05-14,37,35.20
2010-05-21,38,33.02
2010-05-28,35,33.86
2010-06-04,44,32.15
2010-06-11,42,32.22
2010-06-18,43,31.94
2010-06-25,38,30.20
2010-07-02,40,27.76
2010-07-09,40,28.26
2010-07-16,37,27.11
2010-07-23,37,28.25
2010-07-30,40,28.51
2010-08-06,41,28.68
2010-08-13,40,27.31
2010-08-20,41,28.17
2010-08-27,39,28.74
2010-09-03,38,29.85
2010-09-10,41,29.68
2010-09-17,43,29.89
2010-09-24,42,31.64
2010-10-01,43,31.82
2010-10-08,42,31.89
2010-10-15,43,30.70
2010-10-22,44,31.48
2010-10-29,46,30.90
2010-11-05,48,31.92
2010-11-12,51,31.44
2010-11-19,55,31.22
2010-11-26,74,31.00
2010-12-03,58,33.48
2010-12-10,52,34.40
2010-12-17,56,35.10
2010-12-24,71,
2010-12-31,73,35.06
2011-01-07,52,34.38
2011-01-14,50,35.89
2011-01-21,46,36.51
2011-01-28,43,36.70
2011-02-04,41,36.80
2011-02-11,46,37.48
2011-02-18,39,38.48
2011-02-25,42,37.08
2011-03-04,38,37.22
2011-03-11,39,37.14
2011-03-18,38,36.00
2011-03-25,42,37.42
2011-04-01,39,37.56
2011-04-08,37,37.46
2011-04-15,37,38.17
2011-04-22,37,
2011-04-29,38,37.15
2011-05-06,35,36.99
2011-05-13,37,37.01
2011-05-20,35,37.05
2011-05-27,41,36.00
2011-06-03,34,34.63
2011-06-10,39,33.47
2011-06-17,36,34.53
2011-06-24,39,35.08
2011-07-01,40,36.73
2011-07-08,38,36.62
2011-07-15,37,35.91
2011-07-22,36,36.52
2011-07-29,37,34.93
2011-08-05,40,30.74
2011-08-12,40,30.58
2011-08-19,42,31.88
2011-08-26,40,34.00
2011-09-02,40,32.18
2011-09-09,37,31.87
2011-09-16,40,34.61
2011-09-23,34,33.72
2011-09-30,33,32.87
2011-10-07,37,33.92
2011-10-14,35,35.05
2011-10-21,31,36.86
2011-10-28,34,36.12
2011-11-04,34,36.39
2011-11-11,41,38.06
2011-11-18,42,37.88
2011-11-25,58,36.47
2011-12-02,54,39.94
2011-12-09,50,40.23
2011-12-16,52,40.42
2011-12-23,53,42.09
2011-12-30,66,42.04
2012-01-06,47,43.20
2012-01-13,44,43.51
2012-01-20,38,44.51
2012-01-27,39,44.87
2012-02-03,37,45.17
2012-02-10,38,45.33
2012-02-17,36,46.71
2012-02-24,39,46.98
2012-03-02,34,47.41
2012-03-09,38,48.10
2012-03-16,35,49.05
2012-03-23,35,49.54
2012-03-30,32,50.31
2012-04-06,32,
2012-04-13,33,50.96
2012-04-20,33,51.46
2012-04-27,30,51.95
2012-05-04,35,51.96
2012-05-11,33,50.34
2012-05-18,37,47.05
2012-05-25,34,49.44
2012-06-01,33,47.96
2012-06-08,35,52.35
2012-06-15,36,51.87
2012-06-22,34,52.02
2012-06-29,33,52.99
2012-07-06,31,52.15
2012-07-13,35,52.09
2012-07-20,37,50.70
2012-07-27,39,53.71
2012-08-03,39,52.29
2012-08-10,37,53.06
2012-08-17,37,56.73
2012-08-24,38,56.96
2012-08-31,37,56.75
2012-09-07,39,57.26
2012-09-14,43,59.46
2012-09-21,41,59.42
2012-09-28,40,60.37
2012-10-05,41,63.20
2012-10-12,41,59.56
2012-10-19,43,61.89
2012-10-26,50,60.04
2012-11-02,46,62.02
2012-11-09,53,60.96
2012-11-16,60,62.12
2012-11-23,95,64.82
2012-11-30,81,65.07
2012-12-07,69,64.45
2012-12-14,85,62.06
2012-12-21,95,61.32
2012-12-28,100,60.65
2013-01-04,68,63.18
2013-01-11,48,63.70
2013-01-18,43,65.47
2013-01-25,49,67.82
2013-02-01,49,67.30
2013-02-08,50,67.01
2013-02-15,63,67.52
2013-02-22,67,65.58
2013-03-01,63,69.03
2013-03-08,61,71.37
2013-03-15,56,69.05
2013-03-22,57,69.56
2013-03-29,54,
2013-04-05,61,70.06
2013-04-12,50,73.62
2013-04-19,42,74.00
2013-04-26,41,73.35
2013-05-03,43,73.96
2013-05-10,45,76.01
2013-05-17,37,76.86
2013-05-24,38,78.99
2013-05-31,42,78.66
2013-06-07,41,78.74
2013-06-14,44,76.59
2013-06-21,43,73.82
2013-06-28,42,77.47
2013-07-05,40,78.29
2013-07-12,44,80.54
2013-07-19,42,79.89
2013-07-26,43,78.74
2013-08-02,42,80.23
2013-08-09,43,78.97
2013-08-16,43,75.38
2013-08-23,36,73.89
2013-08-30,40,74.49
2013-09-06,40,72.70
2013-09-13,36,75.11
2013-09-20,35,77.00
2013-09-27,37,75.96
2013-10-04,34,75.78
2013-10-11,37,76.32
2013-10-18,36,74.69
2013-10-25,36,76.25
2013-11-01,36,76.99
2013-11-08,39,75.48
2013-11-15,46,80.03
2013-11-22,49,79.18
2013-11-29,93,80.67
2013-12-06,66,79.84
2013-12-13,58,79.01
2013-12-20,66,80.04
2013-12-27,78,81.64
2014-01-03,50,81.89
2014-01-10,37,82.01
2014-01-17,36,81.00
2014-01-24,36,79.16
2014-01-31,36,76.85
2014-02-07,31,76.45
2014-02-14,35,77.93
2014-02-21,34,77.74
2014-02-28,33,82.03
2014-03-07,33,82.55
2014-03-14,29,79.38
2014-03-21,33,80.42
2014-03-28,32,78.72
2014-04-04,30,78.72
2014-04-11,27,75.70
2014-04-18,30,
2014-04-25,29,79.38
2014-05-02,36,
