Date,JPMorgan Chase,Price
2008-10-03,78,45.90
2008-10-10,63,41.64
2008-10-17,51,39.33
2008-10-24,49,35.43
2008-10-31,53,41.25
2008-11-07,38,37.75
2008-11-14,44,34.47
2008-11-21,47,22.72
2008-11-28,32,31.66
2008-12-05,49,33.35
2008-12-12,44,30.94
2008-12-19,41,30.32
2008-12-26,36,29.80
2009-01-02,39,31.35
2009-01-09,44,25.97
2009-01-16,52,22.82
2009-01-23,37,24.28
2009-01-30,44,25.51
2009-02-06,47,27.63
2009-02-13,39,24.69
2009-02-20,43,19.90
2009-02-27,49,22.85
2009-03-06,46,15.93
2009-03-13,50,23.75
2009-03-20,48,23.15
2009-03-27,56,27.40
2009-04-03,40,29.28
2009-04-10,46,
2009-04-17,51,33.26
2009-04-24,38,33.38
2009-05-01,41,32.49
2009-05-08,46,38.94
2009-05-15,39,34.91
2009-05-22,35,34.41
2009-05-29,40,36.90
2009-06-05,43,34.55
2009-06-12,43,35.13
2009-06-19,47,35.00
2009-06-26,43,34.45
2009-07-03,38,
2009-07-10,44,32.34
2009-07-17,50,36.89
2009-07-24,43,37.92
2009-07-31,48,38.65
2009-08-07,44,42.36
2009-08-14,45,42.45
2009-08-21,40,43.66
2009-08-28,45,42.92
2009-09-04,39,42.34
2009-09-11,37,42.50
2009-09-18,43,44.95
2009-09-25,41,43.65
2009-10-02,35,41.86
2009-10-09,45,45.85
2009-10-16,45,46.06
2009-10-23,46,45.23
2009-10-30,48,41.77
2009-11-06,49,43.48
2009-11-13,56,42.90
2009-11-20,44,42.46
2009-11-27,39,41.33
2009-12-04,47,41.74
2009-12-11,42,40.96
2009-12-18,44,40.95
2009-12-25,31,
2010-01-01,39,
2010-01-08,49,44.68
2010-01-15,58,43.68
2010-01-22,47,39.16
2010-01-29,48,38.94
2010-02-05,45,38.30
2010-02-12,44,38.95
2010-02-19,49,40.03
2010-02-26,42,41.97
2010-03-05,45,42.81
2010-03-12,42,43.15
2010-03-19,40,43.45
2010-03-26,45,45.02
2010-04-02,45,
2010-04-09,46,45.98
2010-04-16,54,45.55
2010-04-23,53,44.94
2010-04-30,47,42.58
2010-05-07,51,40.76
2010-05-14,43,39.89
2010-05-21,41,40.05
2010-05-28,43,39.58
2010-06-04,47,37.62
2010-06-11,45,38.09
2010-06-18,44,39.18
2010-06-25,49,39.44
2010-07-02,45,35.83
2010-07-09,44,38.85
2010-07-16,49,39.00
2010-07-23,57,39.83
2010-07-30,45,40.28
