Date,McDonald's,Price
2010-01-15,51,62.28
2010-01-22,50,63.39
2010-01-29,50,62.43
2010-02-05,50,63.37
2010-02-12,50,63.59
2010-02-19,53,64.74
2010-02-26,54,63.85
2010-03-05,55,63.67
2010-03-12,55,65.53
2010-03-19,54,66.53
2010-03-26,56,67.26
2010-04-02,60,
2010-04-09,57,68.68
2010-04-16,62,69.03
2010-04-23,57,71.15
2010-04-30,59,70.59
2010-05-07,57,68.01
2010-05-14,55,69.59
2010-05-21,56,67.86
2010-05-28,54,66.87
2010-06-04,64,66.70
2010-06-11,66,69.54
2010-06-18,65,69.88
2010-06-25,63,67.42
2010-07-02,66,66.14
2010-07-09,65,69.22
2010-07-16,67,69.94
2010-07-23,69,69.90
2010-07-30,65,69.73
2010-08-06,64,71.74
2010-08-13,68,71.89
2010-08-20,62,73.08
2010-08-27,59,73.99
2010-09-03,58,75.09
2010-09-10,59,75.01
2010-09-17,59,74.32
2010-09-24,59,75.10
2010-10-01,63,74.92
2010-10-08,71,76.10
2010-10-15,77,77.48
2010-10-22,76,78.55
2010-10-29,75,77.77
2010-11-05,70,79.30
2010-11-12,63,78.85
2010-11-19,61,79.64
2010-11-26,57,78.54
2010-12-03,56,79.76
2010-12-10,58,77.56
2010-12-17,54,76.81
2010-12-24,60,
2010-12-31,62,76.76
2011-01-07,63,74.37
2011-01-14,62,74.06
2011-01-21,59,75.01
2011-01-28,61,73.28
2011-02-04,63,74.05
2011-02-11,64,76.14
2011-02-18,59,76.13
2011-02-25,63,74.44
2011-03-04,62,76.03
2011-03-11,63,76.73
2011-03-18,60,72.99
2011-03-25,67,75.25
2011-04-01,73,75.99
2011-04-08,78,76.04
2011-04-15,80,77.38
2011-04-22,100,
2011-04-29,80,78.31
2011-05-06,68,78.70
2011-05-13,70,80.74
2011-05-20,68,82.33
2011-05-27,66,81.62
2011-06-03,68,80.54
2011-06-10,67,80.36
2011-06-17,71,82.52
2011-06-24,71,81.84
2011-07-01,70,85.65
2011-07-08,69,85.60
2011-07-15,71,85.48
2011-07-22,71,88.56
2011-07-29,72,86.48
2011-08-05,72,85.08
2011-08-12,71,86.50
2011-08-19,70,87.23
2011-08-26,68,89.93
2011-09-02,68,89.09
2011-09-09,65,85.03
2011-09-16,67,88.29
2011-09-23,67,87.37
2011-09-30,78,87.82
2011-10-07,87,87.20
2011-10-14,86,89.94
2011-10-21,90,92.32
2011-10-28,79,93.29
2011-11-04,73,93.81
2011-11-11,73,94.76
2011-11-18,72,92.74
2011-11-25,68,92.10
2011-12-02,69,95.70
2011-12-09,67,98.03
2011-12-16,65,97.49
2011-12-23,62,100.15
2011-12-30,79,100.33
2012-01-06,77,100.60
2012-01-13,71,100.35
2012-01-20,72,101.74
2012-01-27,75,98.69
2012-02-03,78,100.01
2012-02-10,69,99.47
2012-02-17,66,99.99
2012-02-24,69,100.32
2012-03-02,70,99.50
2012-03-09,70,96.84
2012-03-16,68,97.66
2012-03-23,92,95.55
2012-03-30,81,98.10
2012-04-06,84,
2012-04-13,82,96.97
2012-04-20,82,95.94
2012-04-27,78,97.38
2012-05-04,77,95.87
2012-05-11,70,91.90
2012-05-18,72,89.85
2012-05-25,72,91.05
2012-06-01,76,86.71
2012-06-08,80,87.75
2012-06-15,84,90.50
2012-06-22,85,88.35
2012-06-29,82,88.53
2012-07-06,79,89.66
2012-07-13,79,92.29
2012-07-20,81,91.58
2012-07-27,80,89.19
2012-08-03,85,89.59
2012-08-10,81,88.20
2012-08-17,79,87.36
2012-08-24,76,88.92
2012-08-31,73,89.49
2012-09-07,73,91.02
2012-09-14,72,91.70
2012-09-21,73,93.71
2012-09-28,80,91.75
2012-10-05,82,91.00
2012-10-12,82,92.51
2012-10-19,80,88.72
2012-10-26,80,86.71
2012-11-02,74,86.86
2012-11-09,72,84.74
2012-11-16,71,84.12
2012-11-23,68,87.05
2012-11-30,68,87.04
2012-12-07,67,88.48
2012-12-14,69,88.88
2012-12-21,63,90.18
2012-12-28,82,87.58
2013-01-04,83,89.85
2013-01-11,72,91.73
2013-01-18,69,92.26
2013-01-25,71,93.72
2013-02-01,73,95.95
2013-02-08,73,94.87
2013-02-15,76,93.90
2013-02-22,73,95.25
2013-03-01,73,95.68
2013-03-08,75,98.71
2013-03-15,76,99.67
2013-03-22,77,99.27
2013-03-29,81,
2013-04-05,88,101.42
2013-04-12,86,103.59
2013-04-19,83,99.92
2013-04-26,79,100.89
2013-05-03,83,102.92
2013-05-10,82,100.20
2013-05-17,77,101.54
2013-05-24,78,100.29
2013-05-31,81,96.57
2013-06-07,80,98.28
2013-06-14,83,98.42
2013-06-21,84,97.23
2013-06-28,84,99.00
2013-07-05,82,99.86
2013-07-12,83,101.58
2013-07-19,95,100.27
2013-07-26,97,98.03
2013-08-02,98,99.20
2013-08-09,96,97.62
2013-08-16,86,95.03
2013-08-23,75,95.13
2013-08-30,78,94.36
2013-09-06,78,96.26
2013-09-13,77,97.35
2013-09-20,76,96.90
2013-09-27,78,97.12
2013-10-04,78,94.70
2013-10-11,75,94.74
2013-10-18,76,95.20
2013-10-25,73,94.78
2013-11-01,75,97.24
2013-11-08,74,97.01
2013-11-15,76,96.92
2013-11-22,72,98.27
2013-11-29,73,97.37
2013-12-06,70,96.80
2013-12-13,71,94.44
2013-12-20,65,96.51
2013-12-27,90,96.91
2014-01-03,85,96.54
2014-01-10,75,95.80
2014-01-17,74,94.93
2014-01-24,74,94.43
2014-01-31,78,94.17
2014-02-07,75,95.92
2014-02-14,76,95.78
2014-02-21,74,96.45
2014-02-28,77,95.15
2014-03-07,78,95.50
2014-03-14,74,97.58
2014-03-21,79,95.47
2014-03-28,83,97.24
2014-04-04,86,97.87
2014-04-11,88,99.29
2014-04-18,86,
2014-04-25,86,100.73
2014-05-02,82,
