"Date","TSN","Price"
2008-12-12,29,7.11
2008-12-19,32,8.1
2008-12-26,34,8.2
2009-01-02,55,9.35
2009-01-09,51,8.45
2009-01-16,33,8.78
2009-01-23,30,8.66
2009-01-30,31,8.85
2009-02-06,31,9.72
2009-02-13,31,8.8
2009-02-20,39,7.75
2009-02-27,46,8.43
2009-03-06,71,7.98
2009-03-13,42,9.41
2009-03-20,33,9.12
2009-03-27,30,9.84
2009-04-03,31,10.53
2009-04-17,48,11.17
2009-04-24,38,10.93
2009-05-01,38,10.56
2009-05-08,38,12.38
2009-05-15,37,12.56
2009-05-22,29,13.38
2009-05-29,28,13.32
2009-06-05,27,13.28
2009-06-12,29,13.05
2009-06-19,23,12.55
2009-06-26,38,12.85
2009-07-10,41,12.4
2009-07-17,33,12.64
2009-07-24,29,11.84
2009-07-31,28,11.43
2009-08-07,26,11.25
2009-08-14,29,11.37
2009-08-21,28,11.82
2009-08-28,24,11.78
2009-09-04,25,12.23
2009-09-11,31,12.75
2009-09-18,35,12.7
2009-09-25,32,12.69
2009-10-02,35,12.32
2009-10-09,32,12.75
2009-10-16,30,12.41
2009-10-23,29,12.07
2009-10-30,31,12.52
2009-11-06,29,12.87
2009-11-13,27,12.91
2009-11-20,28,13.07
2009-11-27,32,12.29
2009-12-04,30,12.6
2009-12-11,28,12.64
2009-12-18,27,12.18
2010-01-08,46,13.3
2010-01-15,26,13.89
2010-01-22,27,13.77
2010-01-29,28,13.82
2010-02-05,47,14.65
2010-02-12,42,16.04
2010-02-19,49,16.95
2010-02-26,50,17.04
2010-03-05,51,17.24
2010-03-12,27,17.54
2010-03-19,26,17.72
2010-03-26,27,18.7
2010-04-09,34,19.67
2010-04-16,42,19.88
2010-04-23,36,20.15
2010-04-30,39,19.59
2010-05-07,32,18.62
2010-05-14,40,17.7
2010-05-21,33,17.08
2010-05-28,25,17.58
2010-06-04,26,17.5
2010-06-11,29,18.57
2010-06-18,32,18.32
2010-06-25,40,17.3
2010-07-02,50,16.43
2010-07-09,42,17.54
2010-07-16,34,17.18
2010-07-23,30,17.93
2010-07-30,27,17.51
2010-08-06,28,17.14
2010-08-13,30,16.27
2010-08-20,31,16.62
2010-08-27,26,16.61
2010-09-03,25,16.21
2010-09-10,29,16.84
2010-09-17,29,15.85
2010-09-24,31,15.65
2010-10-01,34,16.26
2010-10-08,41,15.01
2010-10-15,37,15.36
2010-10-22,35,15.63
2010-10-29,33,15.55
2010-11-05,32,15.1
2010-11-12,31,14.99
2010-11-19,34,15.64
2010-11-26,35,16.18
2010-12-03,35,16.9
2010-12-10,30,17.74
2010-12-17,31,17.18
2010-12-31,54,17.22
2011-01-07,67,16.93
2011-01-14,30,17.01
2011-01-21,32,17.25
2011-01-28,33,16.55
2011-02-04,28,18.56
2011-02-11,37,18.49
2011-02-18,42,18.63
2011-02-25,47,18.87
2011-03-04,50,18.42
2011-03-11,44,19.49
2011-03-18,34,19.06
2011-03-25,40,19.82
2011-04-01,33,19.32
2011-04-08,44,19.31
2011-04-15,50,19.63
2011-04-29,50,19.9
2011-05-06,38,18.89
2011-05-13,40,18.53
2011-05-20,37,18.76
2011-05-27,36,18.54
2011-06-03,34,17.76
2011-06-10,35,17.12
2011-06-17,35,18.18
2011-06-24,40,18.9
2011-07-01,47,19.53
2011-07-08,37,18.65
2011-07-15,30,18.43
2011-07-22,28,18.25
2011-07-29,26,17.56
2011-08-05,24,16.31
2011-08-12,26,17.16
2011-08-19,27,16.63
2011-08-26,24,16.87
2011-09-02,25,17.09
2011-09-09,32,16.71
2011-09-16,30,17.43
2011-09-23,33,16.44
2011-09-30,33,17.36
2011-10-07,36,17.37
2011-10-14,36,18.55
2011-10-21,37,18.8
2011-10-28,37,19.58
2011-11-04,34,19.33
2011-11-11,33,19.51
2011-11-18,33,19.45
2011-11-25,37,19.25
2011-12-02,38,20.16
