"Date","McCormick...Co.","Price"
2008-12-12,30,29.43
2008-12-19,28,31.5
2008-12-26,27,31.49
2009-01-02,29,32.23
2009-01-09,30,30.86
2009-01-16,29,31.01
2009-01-23,28,30.44
2009-01-30,30,32.04
2009-02-06,29,33.11
2009-02-13,31,31.97
2009-02-20,30,30.15
2009-02-27,30,31.35
2009-03-06,25,30.32
2009-03-13,29,31.81
2009-03-20,36,32.48
2009-03-27,31,29.34
2009-04-03,31,29.28
2009-04-17,28,29.06
2009-04-24,29,28.92
2009-05-01,27,29.5
2009-05-08,30,30.89
2009-05-15,27,31.17
2009-05-22,26,30.88
2009-05-29,23,30.52
2009-06-05,26,30.84
2009-06-12,24,31.97
2009-06-19,26,32.2
2009-06-26,24,32.55
2009-07-10,27,32.46
2009-07-17,28,32.76
2009-07-24,26,32.99
2009-07-31,29,32.22
2009-08-07,29,31.67
2009-08-14,26,31.79
2009-08-21,26,32.54
2009-08-28,30,32.33
2009-09-04,31,32.8
2009-09-11,25,33.49
2009-09-18,26,35.04
2009-09-25,28,33.69
2009-10-02,27,33.4
2009-10-09,28,33.67
2009-10-16,27,34.54
2009-10-23,27,34.38
2009-10-30,26,35.01
2009-11-06,28,35.06
2009-11-13,30,35.93
2009-11-20,28,35.96
2009-11-27,26,35.78
2009-12-04,27,36.51
2009-12-11,31,36.19
2009-12-18,30,35.93
2010-01-08,27,36.72
2010-01-15,26,37.59
2010-01-22,27,36.77
2010-01-29,27,36.3
2010-02-05,28,35.77
2010-02-12,29,36.08
2010-02-19,31,37.76
2010-02-26,30,37.11
2010-03-05,33,38
2010-03-12,27,38.31
2010-03-19,26,39.11
2010-03-26,27,37.63
2010-04-09,27,38.43
2010-04-16,32,38.64
2010-04-23,27,39.49
2010-04-30,28,39.57
2010-05-07,26,37.95
2010-05-14,27,39.28
2010-05-21,26,38.75
2010-05-28,27,38.57
2010-06-04,28,38.71
2010-06-11,25,39.68
2010-06-18,25,40.54
2010-06-25,26,38.97
2010-07-02,25,37.53
2010-07-09,25,38.29
