"Date","SO","Price"
2008-12-12,64,36.34
2008-12-19,59,35.84
2008-12-26,61,35.97
2009-01-02,62,37.47
2009-01-09,56,35.53
2009-01-16,56,35.03
2009-01-23,56,34.65
2009-01-30,55,33.45
2009-02-06,60,33.59
2009-02-13,59,31.39
2009-02-20,62,30.17
2009-02-27,62,30.31
2009-03-06,61,28.05
2009-03-13,60,27.14
2009-03-20,65,30.58
2009-03-27,62,30.57
2009-04-03,63,31.08
2009-04-17,65,29.64
2009-04-24,64,29.46
2009-05-01,63,28.82
2009-05-08,64,28.76
2009-05-15,65,28.12
2009-05-22,66,27.7
2009-05-29,68,28.41
2009-06-05,67,28.91
2009-06-12,72,30.55
2009-06-19,75,30.61
2009-06-26,68,31.9
2009-07-10,71,30.7
2009-07-17,72,31.48
2009-07-24,76,32.63
2009-07-31,75,31.4
2009-08-07,80,31.51
2009-08-14,73,31.47
2009-08-21,71,31.51
2009-08-28,72,31.58
2009-09-04,71,31.42
2009-09-11,68,31.03
2009-09-18,70,32.03
2009-09-25,71,31.9
2009-10-02,75,31.73
2009-10-09,69,31.84
2009-10-16,71,32.5
2009-10-23,70,32.67
2009-10-30,72,31.19
2009-11-06,71,31.59
2009-11-13,73,31.58
2009-11-20,71,31.4
2009-11-27,73,31.61
2009-12-04,74,32.83
2009-12-11,73,34.22
2009-12-18,76,33.79
2010-01-08,73,32.83
2010-01-15,70,33.34
2010-01-22,72,32.54
2010-01-29,72,32
2010-02-05,72,31.7
2010-02-12,66,31.17
2010-02-19,62,32.29
2010-02-26,72,31.77
2010-03-05,72,32.22
2010-03-12,76,32.48
2010-03-19,76,33.18
2010-03-26,76,33.1
2010-04-09,78,33.93
2010-04-16,77,33.87
2010-04-23,76,34.73
2010-04-30,74,34.56
2010-05-07,76,33.92
2010-05-14,75,34.47
2010-05-21,75,33.62
2010-05-28,77,32.7
2010-06-04,76,32.13
2010-06-11,76,33.03
2010-06-18,79,34.11
2010-06-25,80,33.28
2010-07-02,80,33.38
2010-07-09,81,34.71
2010-07-16,83,34.78
2010-07-23,84,35.89
2010-07-30,85,35.33
2010-08-06,86,35.88
2010-08-13,87,35.84
2010-08-20,86,35.78
2010-08-27,85,36.97
2010-09-03,77,36.99
2010-09-10,82,37.11
2010-09-17,80,37.06
2010-09-24,80,37.49
2010-10-01,79,37.14
2010-10-08,81,37.71
2010-10-15,83,37.68
2010-10-22,82,38.32
2010-10-29,81,37.87
2010-11-05,86,38.47
2010-11-12,86,38.09
2010-11-19,85,38.07
2010-11-26,84,37.83
2010-12-03,86,38.12
2010-12-10,86,37.82
2010-12-17,85,37.9
2010-12-31,83,38.23
2011-01-07,82,38.08
2011-01-14,82,38.5
2011-01-21,81,38.25
2011-01-28,80,37.77
2011-02-04,69,37.34
2011-02-11,81,38.03
2011-02-18,83,37.87
2011-02-25,84,38.06
2011-03-04,83,37.97
2011-03-11,84,38.28
2011-03-18,85,37
2011-03-25,85,37.58
2011-04-01,87,38.31
2011-04-08,90,38.4
2011-04-15,88,38.33
2011-04-29,88,39.04
2011-05-06,86,39.5
2011-05-13,90,40.49
2011-05-20,90,40.47
2011-05-27,88,39.8
2011-06-03,90,39.37
2011-06-10,91,39.33
2011-06-17,96,39.81
2011-06-24,93,39.43
2011-07-01,88,40.72
2011-07-08,91,40.31
2011-07-15,91,40.22
2011-07-22,93,40.58
2011-07-29,94,39.54
2011-08-05,92,39.87
2011-08-12,96,39.21
2011-08-19,92,39.97
2011-08-26,94,40.83
2011-09-02,88,41.16
2011-09-09,90,40.74
2011-09-16,89,42.59
2011-09-23,96,42.42
2011-09-30,95,42.37
2011-10-07,94,42.37
2011-10-14,92,42.67
2011-10-21,92,43.94
2011-10-28,91,43.31
2011-11-04,89,43.2
2011-11-11,94,43.94
2011-11-18,92,43.2
2011-11-25,92,42.47
2011-12-02,92,43.76
2011-12-09,91,44.56
2011-12-16,90,44.55
2011-12-23,93,45.9
2011-12-30,91,46.29
2012-01-06,91,44.48
2012-01-13,89,45.27
