"Date","SCG","Price"
2008-12-19,18,34.1
2008-12-26,21,35.43
2009-01-02,29,36.37
2009-01-09,34,35.07
2009-01-16,22,34.21
2009-01-23,26,33.46
2009-01-30,16,34.29
2009-02-06,22,35.23
2009-02-13,25,33.58
2009-02-20,23,30.98
2009-02-27,26,30.13
2009-03-06,24,27.35
2009-03-13,28,27.46
2009-03-20,20,30.09
2009-03-27,18,30.92
2009-04-03,19,30.59
2009-04-17,18,30.85
2009-04-24,17,30.41
2009-05-01,18,30.79
2009-05-08,16,30.85
2009-05-15,18,28.78
2009-05-22,19,28.39
2009-05-29,17,30.02
2009-06-05,18,30.88
2009-06-12,19,31.35
2009-06-19,18,31.31
2009-06-26,19,32.12
2009-07-10,21,32.03
2009-07-17,22,33.61
2009-07-24,25,35.8
2009-07-31,23,35.35
2009-08-07,20,33.94
2009-08-14,20,33.59
2009-08-21,25,34.74
2009-08-28,22,34.95
2009-09-04,24,34.53
2009-09-11,23,33.86
2009-09-18,21,35.52
2009-09-25,21,35.17
2009-10-02,17,34.09
2009-10-09,20,34.82
2009-10-16,19,34.85
2009-10-23,16,34.96
2009-10-30,19,33.84
2009-11-06,19,34.15
2009-11-13,18,34.5
2009-11-20,20,34.62
2009-11-27,19,34.94
2009-12-04,19,36.38
2009-12-11,20,37.44
2009-12-18,21,37.58
2010-01-08,35,36.65
2010-01-15,20,37.32
2010-01-22,24,35.92
2010-01-29,21,35.61
2010-02-05,22,35.12
2010-02-12,27,34.55
2010-02-19,22,36.25
2010-02-26,24,36.05
2010-03-05,20,37.62
2010-03-12,20,36.93
2010-03-19,19,37.91
2010-03-26,21,37.67
2010-04-09,21,38.13
2010-04-16,14,38.66
2010-04-23,21,39.4
2010-04-30,18,39.47
2010-05-07,20,36.78
2010-05-14,24,37.51
2010-05-21,20,36.26
2010-05-28,19,36.29
2010-06-04,22,35.54
2010-06-11,23,36.08
2010-06-18,23,37.61
2010-06-25,24,36.44
2010-07-02,23,35.49
2010-07-09,23,37.6
2010-07-16,25,37.93
2010-07-23,23,38.92
2010-07-30,21,38.31
2010-08-06,26,39.51
2010-08-13,24,38.61
2010-08-20,25,38.46
2010-08-27,21,39.23
2010-09-03,24,40.56
2010-09-10,24,39.82
2010-09-17,28,39.8
2010-09-24,21,40.45
2010-10-01,20,40.55
2010-10-08,22,40.69
2010-10-15,21,41.14
2010-10-22,23,41.2
2010-10-29,22,40.84
2010-11-05,27,41.67
2010-11-12,23,40.94
2010-11-19,24,40.92
2010-11-26,22,41.04
2010-12-03,21,41.18
2010-12-10,20,40.23
2010-12-17,22,40.76
2010-12-31,22,40.6
2011-01-07,50,41.12
2011-01-14,26,41.84
2011-01-21,28,42
2011-01-28,26,42.07
2011-02-04,21,42.51
2011-02-11,24,40.67
2011-02-18,21,40.43
2011-02-25,22,40.36
2011-03-04,20,40.2
2011-03-11,19,40.05
2011-03-18,23,38.5
2011-03-25,23,39.06
2011-04-01,22,39.69
2011-04-08,23,39.22
2011-04-15,21,39.2
2011-04-29,27,41.52
2011-05-06,23,41.22
2011-05-13,27,41.93
2011-05-20,26,41.49
2011-05-27,27,40.44
2011-06-03,22,39.89
2011-06-10,29,38.9
2011-06-17,26,38.76
2011-06-24,24,38.66
2011-07-01,22,39.86
2011-07-08,21,39.55
2011-07-15,22,39.74
2011-07-22,28,40.54
2011-07-29,26,39.19
2011-08-05,24,37.32
2011-08-12,21,37.59
2011-08-19,23,38.58
2011-08-26,25,39.09
2011-09-02,27,39.39
2011-09-09,25,38.34
2011-09-16,27,39.88
2011-09-23,22,39.75
2011-09-30,23,40.45
2011-10-07,25,40.15
2011-10-14,25,40.99
2011-10-21,23,42.66
2011-10-28,22,42.9
2011-11-04,23,42.62
2011-11-11,21,43.18
2011-11-18,21,42.52
2011-11-25,21,40.97
2011-12-02,22,43.14
2011-12-09,23,42.98
2011-12-16,30,42.78
2011-12-23,26,44.75
2011-12-30,27,45.06
2012-01-06,74,43.76
2012-01-13,31,44.05
2012-01-20,33,44.72
2012-01-27,28,44.95
2012-02-03,26,45.32
2012-02-10,28,45.31
2012-02-17,32,44.85
2012-02-24,32,45.35
2012-03-02,29,44.63
2012-03-09,27,44.85
2012-03-16,23,44.69
2012-03-23,27,44.61
2012-03-30,28,45.61
2012-04-13,22,44.28
2012-04-20,25,45.59
2012-04-27,26,46.12
2012-05-04,27,45.67
2012-05-11,29,46.53
2012-05-18,28,45.87
2012-05-25,28,46.65
2012-06-01,28,46.76
2012-06-08,29,46.99
2012-06-15,29,48.04
2012-06-22,29,46.56
2012-06-29,29,47.84
2012-07-06,30,48.15
2012-07-13,29,48.73
2012-07-20,31,48.67
2012-07-27,31,49.46
2012-08-03,26,49.34
2012-08-10,27,48.96
2012-08-17,28,48.57
2012-08-24,36,47.93
2012-08-31,31,47.36
2012-09-07,30,48.32
2012-09-14,28,48.42
2012-09-21,29,48.44
2012-09-28,29,48.27
2012-10-05,28,48.94
2012-10-12,31,48.3
2012-10-19,31,49.12
2012-10-26,29,48.64
2012-11-02,28,48.47
2012-11-09,28,46.46
2012-11-16,28,46.1
2012-11-23,29,45.13
2012-11-30,29,46.34
2012-12-07,26,45.9
2012-12-14,26,45.64
2012-12-21,29,46.22
2012-12-28,26,45.1
2013-01-04,45,46.67
2013-01-11,34,46.49
2013-01-18,30,46.28
2013-01-25,30,46.72
2013-02-01,28,47.17
2013-02-08,30,47.23
2013-02-15,29,47.92
2013-02-22,26,48.98
2013-03-01,28,49.06
2013-03-08,27,49.06
2013-03-15,27,49.6
2013-03-22,27,49.67
2013-04-05,29,52.02
2013-04-12,27,52.6
2013-04-19,31,52.81
2013-04-26,28,53.2
2013-05-03,27,53.91
2013-05-10,30,52.55
2013-05-17,29,53.48
2013-05-24,28,51.33
2013-05-31,29,50.44
2013-06-07,36,49.87
2013-06-14,33,49.46
2013-06-21,30,48.15
2013-06-28,30,49.1
2013-07-05,27,48.51
2013-07-12,29,51.04
2013-07-19,28,52.48
2013-07-26,28,52.15
2013-08-02,30,52.22
2013-08-09,29,51.46
2013-08-16,30,48.92
2013-08-23,33,48.92
2013-08-30,34,48.12
2013-09-06,31,46.17
2013-09-13,29,46.24
2013-09-20,28,46.51
2013-09-27,30,46.03
2013-10-04,33,45
2013-10-11,32,46.14
2013-10-18,27,46.58
2013-10-25,27,47.62
2013-11-01,31,47.21
2013-11-08,29,46.9
2013-11-15,28,47.21
2013-11-22,26,47.55
2013-11-29,29,47.17
2013-12-06,25,47.64
2013-12-13,26,46.54
2013-12-20,30,47.25
2013-12-27,25,46.96
2014-01-03,53,45.96
2014-01-10,38,46.8
2014-01-17,36,46.34
2014-01-24,32,46.56
2014-01-31,29,47.27
2014-02-07,30,46.64
2014-02-14,34,48.7
2014-02-21,31,49.6
2014-02-28,31,49.5
2014-03-07,28,48.64
2014-03-14,30,50.18
2014-03-21,47,49.73
2014-03-28,32,50.62
2014-04-04,28,51.08
2014-04-11,28,51.74
2014-04-25,27,53.19
