"Date","DPS","Price"
2013-03-22,35,46.42
2013-04-05,35,46.12
2013-04-12,36,47.64
2013-04-19,33,48.07
2013-04-26,32,48.08
2013-05-03,32,49.2
2013-05-10,32,49
2013-05-17,34,49.25
2013-05-24,34,48.09
2013-05-31,36,45.98
2013-06-07,35,46.33
2013-06-14,35,46.93
2013-06-21,34,45.54
2013-06-28,33,45.93
2013-07-05,34,46.37
2013-07-12,34,47.46
2013-07-19,35,48.29
2013-07-26,34,46.64
2013-08-02,33,47.41
2013-08-09,33,46.85
2013-08-16,34,44.83
2013-08-23,35,45.62
2013-08-30,34,44.76
2013-09-06,35,44.47
2013-09-13,36,44.91
2013-09-20,35,45.59
2013-09-27,35,44.98
2013-10-04,34,43.47
2013-10-11,34,43.92
2013-10-18,32,45.01
2013-10-25,32,46.67
2013-11-01,32,47.43
2013-11-08,32,47.91
2013-11-15,34,48.56
2013-11-22,33,48.94
2013-11-29,33,48.26
2013-12-06,34,49
2013-12-13,34,47.58
2013-12-20,34,48.42
2013-12-27,31,48.8
2014-01-03,35,47.6
2014-01-10,38,48.43
2014-01-17,37,48.49
2014-01-24,39,48.47
2014-01-31,39,47.88
2014-02-07,37,48.89
2014-02-14,36,50.3
2014-02-21,36,51.74
2014-02-28,37,52.11
2014-03-07,39,52.29
2014-03-14,38,52.38
2014-03-21,38,52.77
2014-03-28,39,53.95
2014-04-04,39,53.71
2014-04-11,38,51.19
2014-04-25,37,53.58
