"Date","International.Paper","Price"
2008-12-12,34,12.17
2008-12-19,32,12.24
2008-12-26,20,11.49
2009-01-02,24,12.43
2009-01-09,32,11.7
2009-01-16,31,10.89
2009-01-23,32,10.83
2009-01-30,37,9.12
2009-02-06,36,8
2009-02-13,35,6.89
2009-02-20,36,6.12
2009-02-27,30,5.69
2009-03-06,31,4.09
2009-03-13,30,6.17
2009-03-20,33,7.08
2009-03-27,30,8.07
2009-04-03,34,7.96
2009-04-17,32,8.82
2009-04-24,32,10.86
2009-05-01,29,13.04
2009-05-08,35,14.36
2009-05-15,34,12.49
2009-05-22,28,14.31
2009-05-29,28,14.37
2009-06-05,29,14.48
2009-06-12,31,15.81
2009-06-19,28,13.75
2009-06-26,26,13.96
2009-07-10,27,14.69
2009-07-17,27,16.25
2009-07-24,29,18.72
2009-07-31,27,18.81
2009-08-07,28,20.18
2009-08-14,35,19.99
2009-08-21,32,21.18
2009-08-28,29,22.38
2009-09-04,32,22.44
2009-09-11,32,23.47
2009-09-18,32,23.14
2009-09-25,27,21.71
2009-10-02,31,21.39
2009-10-09,30,23.18
2009-10-16,30,24.16
2009-10-23,42,23.72
2009-10-30,35,22.31
2009-11-06,26,23.96
2009-11-13,28,24.81
2009-11-20,32,24.89
2009-11-27,24,24.85
2009-12-04,29,25.86
2009-12-11,27,25.79
2009-12-18,27,26.66
2010-01-08,24,26.93
2010-01-15,29,26.08
2010-01-22,30,24.43
2010-01-29,32,22.91
2010-02-05,30,22.67
2010-02-12,30,22.57
2010-02-19,29,24.25
2010-02-26,29,23.17
2010-03-05,31,25.35
2010-03-12,32,25.34
2010-03-19,28,25.82
2010-03-26,27,24.99
2010-04-09,29,27.47
2010-04-16,29,27.85
2010-04-23,31,28.63
2010-04-30,31,26.74
2010-05-07,27,23.16
2010-05-14,31,23.78
2010-05-21,26,22.28
2010-05-28,30,23.23
2010-06-04,26,21.93
2010-06-11,28,24.3
2010-06-18,29,25.73
2010-06-25,26,24.59
2010-07-02,25,22.59
2010-07-09,25,23.67
2010-07-16,26,22.78
2010-07-23,26,24.98
2010-07-30,27,24.2
2010-08-06,29,24.06
2010-08-13,31,21.87
2010-08-20,31,21.21
2010-08-27,29,20.38
2010-09-03,29,22.39
2010-09-10,28,22.39
2010-09-17,29,23.46
2010-09-24,32,21.83
2010-10-01,31,22.36
2010-10-08,31,22.19
2010-10-15,31,23.53
2010-10-22,31,23.68
2010-10-29,36,25.28
2010-11-05,30,26.44
2010-11-12,31,25.67
2010-11-19,33,24.8
2010-11-26,29,25.12
2010-12-03,29,26.24
2010-12-10,30,26.85
2010-12-17,27,25.94
2010-12-31,19,27.24
2011-01-07,26,27.99
2011-01-14,25,28.67
2011-01-21,31,27.91
2011-01-28,31,28.44
2011-02-04,29,29.22
2011-02-11,28,29.34
2011-02-18,29,29.02
2011-02-25,27,28.08
2011-03-04,29,26.78
