"Date","DirecTV","Price"
2008-12-19,25,21.91
2008-12-26,28,20.96
2009-01-02,36,24.18
2009-01-09,31,22.08
2009-01-16,28,21.98
2009-01-23,28,21.38
2009-01-30,28,21.9
2009-02-06,27,22.58
2009-02-13,26,23.24
2009-02-20,28,21.48
2009-02-27,25,19.94
2009-03-06,26,19.68
2009-03-13,25,21
2009-03-20,24,21.79
2009-03-27,25,22.88
2009-04-03,24,24.36
2009-04-17,27,24.94
2009-04-24,24,24.98
2009-05-01,24,24.57
2009-05-08,25,24.75
2009-05-15,25,24.23
2009-05-22,25,23.71
2009-05-29,25,22.5
2009-06-05,24,21.81
2009-06-12,26,22.77
2009-06-19,25,23.68
2009-06-26,24,24.57
2009-07-10,29,23.47
2009-07-17,27,24.67
2009-07-24,26,25.59
2009-07-31,26,25.9
2009-08-07,28,24.69
2009-08-14,29,24.64
2009-08-21,29,24.8
2009-08-28,29,24.94
2009-09-04,30,25.05
2009-09-11,31,25.54
2009-09-18,32,26.33
2009-09-25,30,26.81
2009-10-02,29,27.1
2009-10-09,28,27.44
2009-10-16,26,26.86
2009-10-23,25,26.42
2009-10-30,26,26.3
2009-11-06,27,28.59
2009-11-13,27,29.82
2009-11-20,25,31.54
2009-11-27,27,31.6
2009-12-04,27,32.66
2009-12-11,26,33
2009-12-18,27,33.04
2010-01-08,31,34.12
2010-01-15,27,33.32
2010-01-22,27,31.38
2010-01-29,26,30.35
2010-02-05,28,30.62
2010-02-12,29,30.69
2010-02-19,27,33.64
2010-02-26,27,33.85
2010-03-05,29,34.95
2010-03-12,28,34.87
2010-03-19,29,33.42
2010-03-26,28,33.46
2010-04-09,37,35.25
2010-04-16,29,35.55
2010-04-23,29,36.64
2010-04-30,31,36.24
2010-05-07,29,35.89
2010-05-14,29,37.34
2010-05-21,31,37.23
2010-05-28,31,37.69
2010-06-04,34,37.9
2010-06-11,47,38.47
2010-06-18,41,37.43
2010-06-25,34,35.83
2010-07-02,38,33.64
2010-07-09,34,35.62
2010-07-16,33,34.97
2010-07-23,33,37.14
2010-07-30,33,37.16
2010-08-06,35,38.61
2010-08-13,37,38.56
2010-08-20,34,38.05
2010-08-27,34,38.17
2010-09-03,36,39.05
2010-09-10,37,40.04
2010-09-17,39,41.67
2010-09-24,38,41.94
2010-10-01,34,41.83
2010-10-08,34,42.09
2010-10-15,33,42.65
2010-10-22,34,42.72
2010-10-29,31,43.45
2010-11-05,35,42.72
2010-11-12,33,42.44
2010-11-19,32,42.15
2010-11-26,32,41.87
2010-12-03,33,40.62
2010-12-10,32,40.2
2010-12-17,37,39.26
2010-12-31,39,39.93
2011-01-07,38,41.86
2011-01-14,33,42.51
2011-01-21,34,41.85
2011-01-28,32,42.17
2011-02-04,34,42.81
2011-02-11,33,43.49
2011-02-18,32,44.3
2011-02-25,34,46.03
2011-03-04,33,46.05
2011-03-11,32,45.88
2011-03-18,33,44.8
2011-03-25,30,47.08
2011-04-01,34,47.03
2011-04-08,36,46.48
2011-04-15,42,46.89
2011-04-29,35,48.59
2011-05-06,33,48.57
2011-05-13,32,49.73
2011-05-20,32,50.06
2011-05-27,33,49.93
2011-06-03,31,48.92
2011-06-10,32,46.72
2011-06-17,31,46.65
2011-06-24,32,47.75
2011-07-01,33,51.76
2011-07-08,33,53.08
2011-07-15,34,52.15
2011-07-22,33,52.35
2011-07-29,33,50.68
2011-08-05,36,45.39
2011-08-12,38,43.34
2011-08-19,46,41.93
2011-08-26,37,42.51
2011-09-02,40,42.22
2011-09-09,40,41.43
2011-09-16,42,43.7
2011-09-23,40,42.02
2011-09-30,36,42.27
2011-10-07,38,43.53
2011-10-14,36,47.03
2011-10-21,37,46.42
2011-10-28,48,45.53
2011-11-04,43,46.66
2011-11-11,37,45.84
2011-11-18,36,46.62
2011-11-25,37,45.08
2011-12-02,37,46.82
2011-12-09,37,46.06
2011-12-16,36,42.1
2011-12-23,36,43.23
2011-12-30,40,42.76
2012-01-06,41,43.85
2012-01-13,39,43.46
2012-01-20,49,43.03
2012-01-27,50,44.36
2012-02-03,42,45.69
2012-02-10,45,45.51
2012-02-17,40,44.98
2012-02-24,38,45.61
2012-03-02,41,46.55
2012-03-09,40,47.15
2012-03-16,40,47.47
2012-03-23,35,48.07
2012-03-30,39,49.34
2012-04-13,45,49.1
2012-04-20,53,48.13
2012-04-27,41,49.02
2012-05-04,42,48.22
2012-05-11,37,47.57
2012-05-18,38,45.38
2012-05-25,41,46.4
2012-06-01,41,43.92
