Date,MRK,Price
2008-10-10,47,26.23
2008-10-17,53,28.50
2008-10-24,55,27.35
2008-10-31,51,30.95
2008-11-07,44,28.92
2008-11-14,37,27.33
2008-11-21,46,24.40
2008-11-28,41,26.72
2008-12-05,37,26.49
2008-12-12,45,27.04
2008-12-19,40,28.56
2008-12-26,43,29.00
2009-01-02,44,31.00
2009-01-09,48,28.73
2009-01-16,37,28.19
2009-01-23,40,28.20
2009-01-30,40,28.55
2009-02-06,43,30.77
2009-02-13,54,28.75
2009-02-20,40,28.10
2009-02-27,48,24.20
2009-03-06,44,22.74
2009-03-13,60,27.07
2009-03-20,47,26.72
2009-03-27,37,27.16
2009-04-03,42,26.46
2009-04-10,40,
2009-04-17,39,25.73
2009-04-24,48,23.45
2009-05-01,41,24.30
2009-05-08,40,24.82
2009-05-15,42,25.47
2009-05-22,40,26.17
2009-05-29,34,27.58
2009-06-05,41,26.07
2009-06-12,43,26.08
2009-06-19,40,25.91
2009-06-26,41,27.00
2009-07-03,37,
2009-07-10,34,26.45
2009-07-17,40,27.68
2009-07-24,41,30.99
2009-07-31,39,30.01
2009-08-07,42,30.10
2009-08-14,36,30.98
2009-08-21,38,32.56
2009-08-28,41,32.32
2009-09-04,43,30.70
2009-09-11,40,32.54
2009-09-18,33,31.88
2009-09-25,36,31.25
2009-10-02,33,31.65
2009-10-09,33,32.56
2009-10-16,38,33.21
2009-10-23,40,32.43
2009-10-30,32,30.93
2009-11-06,34,32.59
2009-11-13,37,33.10
2009-11-20,38,36.46
2009-11-27,33,36.29
2009-12-04,36,36.70
2009-12-11,38,37.07
2009-12-18,38,37.40
2009-12-25,38,
2010-01-01,35,
2010-01-08,41,37.70
2010-01-15,40,39.47
2010-01-22,44,38.87
2010-01-29,39,38.18
2010-02-05,36,36.73
2010-02-12,36,36.92
2010-02-19,37,37.49
2010-02-26,37,36.88
2010-03-05,44,37.49
2010-03-12,42,37.16
2010-03-19,39,38.06
2010-03-26,37,37.43
2010-04-02,35,
2010-04-09,31,36.97
2010-04-16,38,35.71
2010-04-23,35,35.46
2010-04-30,36,35.04
2010-05-07,37,33.49
2010-05-14,40,32.88
2010-05-21,36,32.04
2010-05-28,39,33.69
2010-06-04,35,33.17
2010-06-11,34,34.86
2010-06-18,34,35.67
2010-06-25,34,35.93
2010-07-02,33,34.22
2010-07-09,37,36.30
2010-07-16,45,35.91
2010-07-23,28,34.87
2010-07-30,34,34.46
2010-08-06,37,34.98
2010-08-13,39,35.00
2010-08-20,30,34.44
2010-08-27,37,35.00
2010-09-03,28,35.59
2010-09-10,31,36.65
2010-09-17,32,36.33
2010-09-24,36,37.34
2010-10-01,36,36.60
2010-10-08,33,36.91
2010-10-15,37,36.95
2010-10-22,35,37.10
2010-10-29,39,36.31
2010-11-05,39,35.70
2010-11-12,39,34.71
2010-11-19,38,35.33
2010-11-26,29,34.79
2010-12-03,38,35.30
2010-12-10,36,35.99
2010-12-17,33,36.48
2010-12-24,49,
2010-12-31,36,36.04
2011-01-07,56,37.35
2011-01-14,46,34.23
2011-01-21,40,33.90
2011-01-28,37,33.07
2011-02-04,40,32.89
2011-02-11,34,33.07
2011-02-18,36,32.85
2011-02-25,33,32.19
2011-03-04,34,33.06
2011-03-11,36,32.73
2011-03-18,33,31.91
2011-03-25,36,32.57
2011-04-01,34,33.07
2011-04-08,37,33.67
2011-04-15,40,34.51
2011-04-22,35,
2011-04-29,40,35.95
2011-05-06,37,36.39
2011-05-13,36,37.08
2011-05-20,37,37.06
2011-05-27,36,36.21
2011-06-03,34,35.82
2011-06-10,35,35.45
2011-06-17,81,35.39
2011-06-24,28,34.55
2011-07-01,35,35.60
2011-07-08,29,36.12
2011-07-15,32,35.93
2011-07-22,31,36.09
2011-07-29,34,34.13
2011-08-05,32,31.71
2011-08-12,39,31.34
2011-08-19,31,31.26
2011-08-26,31,31.92
2011-09-02,29,32.37
2011-09-09,28,31.84
2011-09-16,30,32.68
2011-09-23,31,31.05
2011-09-30,32,32.70
2011-10-07,28,31.61
2011-10-14,31,32.98
2011-10-21,32,33.35
2011-10-28,32,35.11
2011-11-04,31,34.02
2011-11-11,28,35.97
2011-11-18,35,34.95
2011-11-25,31,33.16
2011-12-02,29,35.48
2011-12-09,40,35.68
2011-12-16,35,36.25
2011-12-23,32,37.90
2011-12-30,27,37.70
2012-01-06,34,38.47
2012-01-13,38,38.32
2012-01-20,35,39.20
2012-01-27,34,38.52
2012-02-03,36,38.37
2012-02-10,33,37.91
2012-02-17,36,38.56
2012-02-24,37,38.20
2012-03-02,38,37.93
2012-03-09,37,37.60
2012-03-16,32,38.03
2012-03-23,34,38.01
2012-03-30,33,38.40
2012-04-06,33,
2012-04-13,33,37.78
2012-04-20,34,38.73
2012-04-27,32,38.46
2012-05-04,34,38.84
2012-05-11,30,38.03
2012-05-18,32,37.82
2012-05-25,35,37.55
2012-06-01,31,37.18
2012-06-08,32,38.46
2012-06-15,28,38.94
2012-06-22,29,40.18
2012-06-29,33,41.75
2012-07-06,31,41.51
2012-07-13,32,43.47
2012-07-20,31,43.41
2012-07-27,31,45.10
2012-08-03,35,44.15
2012-08-10,36,44.57
2012-08-17,31,43.34
2012-08-24,31,43.12
2012-08-31,31,43.05
2012-09-07,30,44.05
2012-09-14,33,43.62
2012-09-21,31,44.91
2012-09-28,31,45.10
2012-10-05,37,46.28
2012-10-12,36,45.62
2012-10-19,27,47.03
2012-10-26,37,46.15
2012-11-02,30,46.00
2012-11-09,32,44.05
2012-11-16,32,43.07
2012-11-23,30,44.28
2012-11-30,31,44.30
2012-12-07,32,44.63
2012-12-14,31,43.54
2012-12-21,32,41.52
2012-12-28,31,40.64
2013-01-04,31,41.97
2013-01-11,31,43.23
2013-01-18,28,42.98
2013-01-25,32,43.46
2013-02-01,31,41.83
2013-02-08,33,41.18
2013-02-15,36,41.42
2013-02-22,34,42.97
2013-03-01,33,42.63
2013-03-08,33,42.97
2013-03-15,33,44.09
2013-03-22,31,43.90
2013-03-29,36,
2013-04-05,35,45.13
2013-04-12,40,47.11
2013-04-19,34,47.49
2013-04-26,61,47.87
2013-05-03,38,45.67
2013-05-10,37,45.95
2013-05-17,34,45.99
2013-05-24,41,47.16
2013-05-31,34,46.70
2013-06-07,36,48.19
2013-06-14,35,47.95
2013-06-21,31,47.00
2013-06-28,29,46.45
2013-07-05,29,47.16
2013-07-12,28,48.54
2013-07-19,30,47.79
2013-07-26,28,48.49
2013-08-02,30,48.54
2013-08-09,28,48.39
2013-08-16,26,47.70
2013-08-23,27,47.73
2013-08-30,30,47.29
2013-09-06,26,47.49
2013-09-13,31,47.79
2013-09-20,31,48.01
2013-09-27,29,47.79
2013-10-04,33,48.23
2013-10-11,33,47.29
2013-10-18,31,46.61
2013-10-25,31,46.54
2013-11-01,34,45.23
2013-11-08,33,46.80
2013-11-15,34,48.07
2013-11-22,34,48.94
2013-11-29,33,49.83
2013-12-06,35,49.39
2013-12-13,37,48.38
2013-12-20,32,49.32
2013-12-27,29,49.79
2014-01-03,32,49.73
2014-01-10,38,49.88
2014-01-17,42,51.95
2014-01-24,34,51.98
2014-01-31,34,52.97
2014-02-07,39,54.77
2014-02-14,38,55.44
2014-02-21,38,56.03
2014-02-28,38,56.99
2014-03-07,35,57.47
2014-03-14,36,55.70
2014-03-21,32,54.66
2014-03-28,34,55.98
2014-04-04,34,56.12
2014-04-11,36,55.92
2014-04-18,46,
2014-04-25,35,57.24
2014-05-02, ,
