Date,Merck & Co. Inc.,Price
2008-10-03,25,31.78
2008-10-10,26,26.23
2008-10-17,26,28.50
2008-10-24,31,27.35
2008-10-31,26,30.95
2008-11-07,25,28.92
2008-11-14,25,27.33
2008-11-21,26,24.40
2008-11-28,21,26.72
2008-12-05,23,26.49
2008-12-12,22,27.04
2008-12-19,21,28.56
2008-12-26,13,29.00
2009-01-02,15,31.00
2009-01-09,23,28.73
2009-01-16,23,28.19
2009-01-23,23,28.20
2009-01-30,24,28.55
2009-02-06,24,30.77
2009-02-13,23,28.75
2009-02-20,23,28.10
2009-02-27,23,24.20
2009-03-06,23,22.74
2009-03-13,49,27.07
2009-03-20,27,26.72
2009-03-27,26,27.16
2009-04-03,25,26.46
2009-04-10,24,
2009-04-17,24,25.73
2009-04-24,24,23.45
2009-05-01,24,24.30
2009-05-08,23,24.82
2009-05-15,24,25.47
2009-05-22,21,26.17
2009-05-29,22,27.58
2009-06-05,22,26.07
2009-06-12,22,26.08
2009-06-19,23,25.91
2009-06-26,21,27.00
2009-07-03,19,
2009-07-10,21,26.45
2009-07-17,22,27.68
2009-07-24,23,30.99
2009-07-31,22,30.01
2009-08-07,20,30.10
2009-08-14,20,30.98
2009-08-21,19,32.56
2009-08-28,21,32.32
2009-09-04,22,30.70
2009-09-11,21,32.54
2009-09-18,23,31.88
2009-09-25,22,31.25
2009-10-02,23,31.65
2009-10-09,22,32.56
2009-10-16,22,33.21
2009-10-23,24,32.43
2009-10-30,21,30.93
2009-11-06,26,32.59
2009-11-13,23,33.10
2009-11-20,24,36.46
2009-11-27,20,36.29
2009-12-04,22,36.70
2009-12-11,20,37.07
2009-12-18,18,37.40
2009-12-25,13,
2010-01-01,12,
2010-01-08,19,37.70
2010-01-15,21,39.47
2010-01-22,20,38.87
2010-01-29,20,38.18
2010-02-05,21,36.73
2010-02-12,20,36.92
2010-02-19,22,37.49
2010-02-26,21,36.88
2010-03-05,24,37.49
2010-03-12,22,37.16
2010-03-19,21,38.06
2010-03-26,21,37.43
2010-04-02,19,
2010-04-09,21,36.97
2010-04-16,21,35.71
