Date,AMP,Price
2009-02-13,56,20.46
2009-02-20,59,17.15
2009-02-27,60,15.94
2009-03-06,56,14.20
2009-03-13,57,17.91
2009-03-20,57,18.73
2009-03-27,57,20.71
2009-04-03,58,22.84
2009-04-10,59,
2009-04-17,57,24.86
2009-04-24,55,26.44
2009-05-01,58,26.45
2009-05-08,56,29.02
2009-05-15,57,25.40
2009-05-22,55,28.73
2009-05-29,53,30.20
2009-06-05,56,29.65
2009-06-12,55,24.32
2009-06-19,55,24.00
2009-06-26,51,23.89
2009-07-03,52,
2009-07-10,55,22.14
2009-07-17,56,24.63
2009-07-24,56,25.77
2009-07-31,56,27.80
2009-08-07,56,29.60
2009-08-14,57,28.86
2009-08-21,55,29.82
2009-08-28,53,30.20
2009-09-04,54,29.00
2009-09-11,53,30.25
2009-09-18,53,32.76
2009-09-25,53,30.94
2009-10-02,49,36.43
2009-10-09,52,36.67
2009-10-16,54,36.10
2009-10-23,53,37.07
2009-10-30,53,34.67
2009-11-06,52,37.83
2009-11-13,52,39.09
2009-11-20,53,37.57
2009-11-27,52,37.05
2009-12-04,54,38.39
2009-12-11,54,38.44
2009-12-18,53,37.99
2009-12-25,52,
2010-01-01,52,
2010-01-08,51,41.84
2010-01-15,54,41.62
2010-01-22,54,39.76
2010-01-29,52,38.24
2010-02-05,54,37.93
2010-02-12,52,38.26
2010-02-19,54,40.14
2010-02-26,53,40.03
2010-03-05,53,42.90
2010-03-12,53,43.33
2010-03-19,53,44.18
2010-03-26,54,43.96
2010-04-02,54,
2010-04-09,52,46.16
2010-04-16,50,47.12
2010-04-23,50,49.05
2010-04-30,51,46.36
2010-05-07,50,42.54
2010-05-14,52,43.39
2010-05-21,51,40.41
2010-05-28,50,39.79
2010-06-04,51,38.41
2010-06-11,50,39.47
2010-06-18,49,39.76
2010-06-25,49,38.49
2010-07-02,49,36.18
2010-07-09,48,39.00
2010-07-16,51,37.55
2010-07-23,51,38.65
2010-07-30,52,42.39
2010-08-06,53,42.95
2010-08-13,52,42.20
2010-08-20,55,43.13
2010-08-27,51,43.71
2010-09-03,50,47.22
2010-09-10,50,47.21
2010-09-17,51,47.62
2010-09-24,50,47.24
2010-10-01,50,47.76
2010-10-08,49,49.93
2010-10-15,49,49.93
2010-10-22,51,51.02
2010-10-29,51,51.69
2010-11-05,51,55.02
2010-11-12,51,52.93
2010-11-19,51,52.41
2010-11-26,50,51.81
2010-12-03,53,54.14
2010-12-10,51,55.67
2010-12-17,50,55.20
2010-12-24,50,
2010-12-31,51,57.55
2011-01-07,52,60.26
2011-01-14,51,60.88
2011-01-21,52,60.36
2011-01-28,51,60.31
2011-02-04,50,58.08
2011-02-11,50,63.87
