Date,BBT,Price
2008-10-10,74,30.46
2008-10-17,68,33.53
2008-10-24,70,32.25
2008-10-31,63,35.85
2008-11-07,56,31.99
2008-11-14,57,28.05
2008-11-21,58,24.71
2008-11-28,51,29.97
2008-12-05,59,29.17
2008-12-12,59,27.05
2008-12-19,59,27.40
2008-12-26,54,26.03
2009-01-02,62,26.73
2009-01-09,65,23.04
2009-01-16,65,20.83
2009-01-23,60,20.04
2009-01-30,60,19.79
2009-02-06,61,19.01
2009-02-13,63,15.33
2009-02-20,64,14.91
2009-02-27,65,16.13
2009-03-06,60,13.73
2009-03-13,58,17.28
2009-03-20,60,17.35
2009-03-27,56,17.77
2009-04-03,61,18.16
2009-04-10,62,
2009-04-17,60,23.42
2009-04-24,58,23.42
2009-05-01,58,22.79
2009-05-08,59,26.33
2009-05-15,59,21.63
2009-05-22,60,20.31
2009-05-29,53,22.42
2009-06-05,50,21.41
2009-06-12,51,23.14
2009-06-19,57,22.62
2009-06-26,49,22.67
2009-07-03,52,
2009-07-10,52,20.63
2009-07-17,53,20.94
2009-07-24,52,21.02
2009-07-31,56,22.88
2009-08-07,58,25.82
2009-08-14,59,28.23
2009-08-21,61,28.03
2009-08-28,61,28.39
2009-09-04,53,26.51
2009-09-11,55,26.77
2009-09-18,56,29.25
2009-09-25,51,27.17
2009-10-02,47,26.71
2009-10-09,47,27.30
2009-10-16,51,28.25
2009-10-23,47,26.07
2009-10-30,47,23.91
2009-11-06,44,24.47
2009-11-13,47,24.45
2009-11-20,45,24.60
2009-11-27,41,24.26
2009-12-04,49,26.61
2009-12-11,45,25.88
2009-12-18,49,25.53
2009-12-25,43,
2010-01-01,49,
2010-01-08,52,27.34
2010-01-15,48,27.76
2010-01-22,46,28.15
2010-01-29,46,27.87
2010-02-05,47,27.51
2010-02-12,47,26.92
2010-02-19,49,27.31
2010-02-26,47,28.53
2010-03-05,47,28.53
2010-03-12,47,30.70
2010-03-19,45,31.85
2010-03-26,46,32.25
2010-04-02,46,
2010-04-09,48,33.85
2010-04-16,46,33.76
