Date,ADP,Price
2004-01-09,39,
2004-01-16,42,
2004-01-23,40,
2004-01-30,43,
2004-02-06,39,43.13
2004-02-13,42,43.84
2004-02-20,51,43.07
2004-02-27,40,42.45
2004-03-05,38,43.19
2004-03-12,38,42.07
2004-03-19,41,41.30
2004-03-26,33,41.18
2004-04-02,35,44.25
2004-04-09,39,
2004-04-16,42,45.62
2004-04-23,40,45.33
2004-04-30,38,43.81
2004-05-07,39,46.03
2004-05-14,44,45.48
2004-05-21,39,44.28
2004-05-28,47,44.43
2004-06-04,43,44.42
2004-06-11,38,
2004-06-18,40,43.54
2004-06-25,42,42.44
2004-07-02,46,39.90
2004-07-09,42,40.51
2004-07-16,49,40.01
2004-07-23,49,39.62
2004-07-30,50,41.98
2004-08-06,41,39.27
2004-08-13,40,39.20
2004-08-20,40,39.95
2004-08-27,46,39.86
2004-09-03,44,41.14
2004-09-10,38,41.45
2004-09-17,48,42.63
2004-09-24,41,41.52
2004-10-01,37,42.06
2004-10-08,41,41.66
2004-10-15,37,40.85
2004-10-22,37,40.04
2004-10-29,40,43.39
2004-11-05,43,44.62
2004-11-12,44,45.37
2004-11-19,42,44.99
2004-11-26,35,45.29
2004-12-03,39,45.99
2004-12-10,39,44.79
2004-12-17,40,43.94
2004-12-24,40,
2004-12-31,40,44.35
2005-01-07,45,42.60
2005-01-14,42,42.40
2005-01-21,45,42.83
2005-01-28,42,43.20
2005-02-04,42,44.15
2005-02-11,47,42.94
2005-02-18,45,41.96
2005-02-25,50,43.00
2005-03-04,54,42.86
2005-03-11,46,43.51
2005-03-18,43,44.78
2005-03-25,48,
2005-04-01,38,44.83
2005-04-08,45,45.23
2005-04-15,49,43.46
2005-04-22,43,44.34
2005-04-29,43,43.44
2005-05-06,41,44.02
2005-05-13,41,43.99
2005-05-20,38,44.70
2005-05-27,42,44.52
2005-06-03,42,43.65
2005-06-10,43,42.92
2005-06-17,47,42.77
2005-06-24,46,40.69
2005-07-01,49,42.28
