Date,CPB,Price
2008-10-10,44,34.12
2008-10-17,44,36.80
2008-10-24,38,35.79
2008-10-31,34,37.95
2008-11-07,38,37.22
2008-11-14,36,37.53
2008-11-21,43,36.27
2008-11-28,40,32.05
2008-12-05,41,30.10
2008-12-12,51,28.68
2008-12-19,43,28.38
2008-12-26,28,28.46
2009-01-02,30,30.43
2009-01-09,41,29.06
2009-01-16,45,29.72
2009-01-23,43,30.25
2009-01-30,42,30.37
2009-02-06,43,30.56
2009-02-13,41,30.88
2009-02-20,59,29.45
2009-02-27,42,26.77
2009-03-06,50,26.55
2009-03-13,46,26.93
2009-03-20,46,26.48
2009-03-27,47,27.45
2009-04-03,40,27.43
2009-04-10,35,
2009-04-17,41,26.44
2009-04-24,39,24.87
2009-05-01,32,25.80
2009-05-08,43,26.40
2009-05-15,47,26.89
2009-05-22,41,27.35
2009-05-29,40,27.72
2009-06-05,37,28.77
2009-06-12,37,29.10
2009-06-19,39,28.57
2009-06-26,39,29.53
2009-07-03,42,
2009-07-10,35,28.84
2009-07-17,39,29.93
2009-07-24,35,30.53
2009-07-31,35,31.03
2009-08-07,40,30.83
2009-08-14,35,30.60
2009-08-21,40,31.12
2009-08-28,35,31.41
2009-09-04,41,31.19
2009-09-11,34,33.13
2009-09-18,46,32.29
2009-09-25,45,32.53
2009-10-02,42,31.88
2009-10-09,42,32.35
2009-10-16,30,32.62
2009-10-23,39,31.89
2009-10-30,37,31.75
2009-11-06,42,32.19
2009-11-13,37,33.18
2009-11-20,36,34.12
2009-11-27,39,35.16
2009-12-04,38,35.47
2009-12-11,43,34.80
2009-12-18,39,33.02
2009-12-25,32,
2010-01-01,29,
2010-01-08,41,32.83
2010-01-15,46,32.99
2010-01-22,42,32.78
2010-01-29,43,33.11
2010-02-05,40,32.47
2010-02-12,40,33.04
2010-02-19,38,33.93
2010-02-26,40,33.33
2010-03-05,42,34.39
2010-03-12,38,34.49
2010-03-19,46,35.31
2010-03-26,44,34.92
2010-04-02,37,
2010-04-09,38,35.36
2010-04-16,43,35.71
2010-04-23,39,35.59
2010-04-30,36,35.86
2010-05-07,39,35.04
2010-05-14,38,35.34
2010-05-21,55,35.48
2010-05-28,52,35.81
2010-06-04,43,36.00
2010-06-11,46,36.47
2010-06-18,35,37.15
2010-06-25,41,36.11
2010-07-02,33,35.31
2010-07-09,33,36.30
2010-07-16,34,35.82
2010-07-23,30,36.25
2010-07-30,34,35.90
2010-08-06,32,36.18
2010-08-13,33,36.19
2010-08-20,37,36.64
2010-08-27,41,37.47
2010-09-03,37,36.21
2010-09-10,37,35.99
2010-09-17,35,36.30
2010-09-24,44,36.24
2010-10-01,39,36.09
2010-10-08,41,35.67
2010-10-15,37,36.61
2010-10-22,38,36.37
2010-10-29,39,36.25
2010-11-05,36,36.61
2010-11-12,37,34.52
2010-11-19,44,34.65
2010-11-26,35,34.14
2010-12-03,37,34.06
2010-12-10,39,34.48
2010-12-17,36,35.39
2010-12-24,36,
2010-12-31,26,34.75
2011-01-07,34,34.48
2011-01-14,33,34.95
2011-01-21,37,35.32
2011-01-28,39,34.45
2011-02-04,40,34.42
2011-02-11,43,34.43
2011-02-18,49,33.58
2011-02-25,41,33.58
2011-03-04,41,33.55
2011-03-11,38,34.28
2011-03-18,41,33.50
2011-03-25,39,33.56
2011-04-01,46,33.22
2011-04-08,43,33.27
2011-04-15,38,33.84
2011-04-22,34,
2011-04-29,34,33.59
2011-05-06,32,33.62
2011-05-13,36,35.19
2011-05-20,36,35.24
2011-05-27,36,34.64
2011-06-03,35,33.68
2011-06-10,38,33.71
2011-06-17,36,34.17
2011-06-24,34,33.90
2011-07-01,34,34.65
2011-07-08,39,34.17
2011-07-15,37,33.92
2011-07-22,36,33.81
2011-07-29,36,33.05
2011-08-05,37,31.89
2011-08-12,34,30.69
2011-08-19,37,30.03
2011-08-26,38,30.92
2011-09-02,36,31.46
2011-09-09,38,30.85
2011-09-16,46,31.36
2011-09-23,43,31.26
2011-09-30,44,32.37
2011-10-07,41,32.76
2011-10-14,36,33.49
2011-10-21,38,33.88
2011-10-28,34,33.47
2011-11-04,34,33.15
2011-11-11,37,33.79
2011-11-18,38,33.65
2011-11-25,34,31.85
2011-12-02,38,32.54
2011-12-09,38,32.84
2011-12-16,41,32.72
2011-12-23,31,33.16
2011-12-30,25,33.24
2012-01-06,38,31.45
2012-01-13,36,32.48
2012-01-20,35,31.75
2012-01-27,35,31.44
2012-02-03,33,31.90
2012-02-10,36,31.67
2012-02-17,39,32.90
2012-02-24,30,33.71
2012-03-02,44,33.19
2012-03-09,41,32.83
2012-03-16,39,32.80
2012-03-23,36,32.88
2012-03-30,36,33.85
2012-04-06,35,
2012-04-13,36,33.01
2012-04-20,39,33.83
2012-04-27,35,33.85
2012-05-04,32,33.82
2012-05-11,32,34.40
2012-05-18,34,33.40
2012-05-25,39,32.58
2012-06-01,30,31.33
2012-06-08,32,31.72
2012-06-15,36,31.78
2012-06-22,32,32.06
2012-06-29,35,33.38
2012-07-06,33,32.99
2012-07-13,30,33.35
2012-07-20,32,33.19
2012-07-27,33,33.12
2012-08-03,34,32.79
2012-08-10,35,33.31
2012-08-17,33,34.80
2012-08-24,31,34.99
2012-08-31,69,35.14
2012-09-07,47,35.04
2012-09-14,43,34.55
2012-09-21,40,35.10
2012-09-28,39,34.82
2012-10-05,42,35.32
2012-10-12,35,34.68
2012-10-19,38,35.22
2012-10-26,41,34.72
2012-11-02,44,35.23
2012-11-09,39,35.48
2012-11-16,46,36.64
2012-11-23,39,36.70
2012-11-30,41,36.75
2012-12-07,34,36.63
2012-12-14,34,35.58
2012-12-21,30,35.50
2012-12-28,24,34.56
2013-01-04,31,35.68
2013-01-11,40,35.22
2013-01-18,37,36.29
2013-01-25,32,36.53
2013-02-01,36,36.79
2013-02-08,36,37.93
2013-02-15,36,39.40
2013-02-22,33,40.13
2013-03-01,42,42.11
2013-03-08,33,41.38
2013-03-15,40,41.61
2013-03-22,50,43.35
2013-03-29,43,
2013-04-05,42,44.77
2013-04-12,43,45.50
2013-04-19,40,46.46
2013-04-26,42,46.20
2013-05-03,39,46.84
2013-05-10,37,46.29
2013-05-17,39,47.63
2013-05-24,39,45.64
2013-05-31,37,42.81
2013-06-07,38,44.67
2013-06-14,39,44.79
2013-06-21,38,43.57
2013-06-28,39,44.79
2013-07-05,39,44.56
2013-07-12,37,45.73
2013-07-19,35,47.27
2013-07-26,35,47.07
2013-08-02,40,47.41
2013-08-09,38,47.74
2013-08-16,37,46.00
2013-08-23,38,46.39
2013-08-30,40,43.18
2013-09-06,47,41.99
2013-09-13,43,42.28
2013-09-20,46,41.80
2013-09-27,43,40.96
2013-10-04,42,40.52
2013-10-11,42,40.88
2013-10-18,43,41.59
2013-10-25,37,42.56
2013-11-01,43,42.69
2013-11-08,42,41.93
2013-11-15,41,42.42
2013-11-22,39,39.37
2013-11-29,39,38.73
2013-12-06,38,42.43
2013-12-13,35,40.75
2013-12-20,33,42.70
2013-12-27,26,43.30
2014-01-03,31,42.42
2014-01-10,37,42.83
2014-01-17,39,41.79
2014-01-24,34,42.29
2014-01-31,35,41.21
2014-02-07,37,40.32
2014-02-14,40,43.01
2014-02-21,33,43.98
2014-02-28,39,43.31
2014-03-07,34,43.91
2014-03-14,36,44.05
2014-03-21,40,44.54
2014-03-28,40,44.56
2014-04-04,41,44.31
2014-04-11,36,44.26
2014-04-18,36,
2014-04-25,40,44.94
2014-05-02,34,
