Date,McCormick & Co.,Price
2008-10-03,28,38.50
2008-10-10,37,34.26
2008-10-17,100,34.46
2008-10-24,43,31.52
2008-10-31,34,33.66
2008-11-07,32,31.15
2008-11-14,37,30.79
2008-11-21,33,30.27
2008-11-28,29,29.77
2008-12-05,31,29.73
2008-12-12,31,29.43
2008-12-19,30,31.50
2008-12-26,30,31.49
2009-01-02,30,32.23
2009-01-09,32,30.86
2009-01-16,30,31.01
2009-01-23,30,30.44
2009-01-30,32,32.04
2009-02-06,30,33.11
2009-02-13,32,31.97
2009-02-20,32,30.15
2009-02-27,31,31.35
2009-03-06,27,30.32
2009-03-13,30,31.81
2009-03-20,36,32.48
2009-03-27,31,29.34
2009-04-03,33,29.28
2009-04-10,31,
2009-04-17,29,29.06
2009-04-24,30,28.92
2009-05-01,29,29.50
2009-05-08,30,30.89
2009-05-15,28,31.17
2009-05-22,28,30.88
2009-05-29,24,30.52
2009-06-05,27,30.84
2009-06-12,23,31.97
2009-06-19,26,32.20
2009-06-26,25,32.55
2009-07-03,24,
2009-07-10,28,32.46
2009-07-17,29,32.76
2009-07-24,27,32.99
2009-07-31,30,32.22
2009-08-07,31,31.67
2009-08-14,27,31.79
2009-08-21,27,32.54
2009-08-28,33,32.33
2009-09-04,31,32.80
2009-09-11,25,33.49
2009-09-18,28,35.04
2009-09-25,30,33.69
2009-10-02,28,33.40
2009-10-09,30,33.67
2009-10-16,28,34.54
2009-10-23,28,34.38
2009-10-30,27,35.01
2009-11-06,28,35.06
2009-11-13,30,35.93
2009-11-20,30,35.96
2009-11-27,27,35.78
2009-12-04,28,36.51
2009-12-11,33,36.19
2009-12-18,31,35.93
2009-12-25,28,
2010-01-01,28,
2010-01-08,28,36.72
2010-01-15,27,37.59
2010-01-22,27,36.77
2010-01-29,29,36.30
2010-02-05,30,35.77
2010-02-12,31,36.08
2010-02-19,31,37.76
2010-02-26,31,37.11
2010-03-05,34,38.00
2010-03-12,27,38.31
2010-03-19,27,39.11
2010-03-26,27,37.63
2010-04-02,29,
2010-04-09,28,38.43
2010-04-16,33,38.64
2010-04-23,29,39.49
2010-04-30,29,39.57
2010-05-07,26,37.95
2010-05-14,27,39.28
2010-05-21,27,38.75
2010-05-28,27,38.57
2010-06-04,28,38.71
2010-06-11,26,39.68
2010-06-18,25,40.54
2010-06-25,26,38.97
2010-07-02,25,37.53
2010-07-09,25,38.29
2010-07-16,27,38.42
2010-07-23,27,38.98
2010-07-30,28,39.33
2010-08-06,27,39.32
2010-08-13,27,39.75
2010-08-20,27,40.90
2010-08-27,25,40.10
2010-09-03,25,40.55
2010-09-10,27,40.87
2010-09-17,28,41.24
2010-09-24,43,41.72
2010-10-01,27,41.66
2010-10-08,28,41.69
2010-10-15,26,42.92
2010-10-22,36,43.40
2010-10-29,27,44.20
2010-11-05,29,44.70
2010-11-12,30,43.66
2010-11-19,30,44.12
2010-11-26,28,44.27
2010-12-03,27,46.26
2010-12-10,26,46.51
2010-12-17,27,47.71
2010-12-24,27,
2010-12-31,26,46.53
2011-01-07,28,45.19
2011-01-14,26,45.95
2011-01-21,28,46.47
2011-01-28,28,44.51
2011-02-04,28,44.95
2011-02-11,32,45.10
2011-02-18,33,46.06
2011-02-25,30,47.34
2011-03-04,30,48.16
2011-03-11,32,48.86
2011-03-18,30,48.86
2011-03-25,32,49.61
2011-04-01,42,47.91
2011-04-08,35,46.96
2011-04-15,31,48.01
2011-04-22,33,
2011-04-29,30,49.12
2011-05-06,32,48.77
2011-05-13,30,49.69
2011-05-20,29,50.31
2011-05-27,29,49.80
2011-06-03,29,48.19
2011-06-10,28,48.25
2011-06-17,30,49.75
2011-06-24,31,50.00
2011-07-01,29,49.88
2011-07-08,29,49.10
2011-07-15,30,49.23
2011-07-22,30,50.25
2011-07-29,30,48.65
2011-08-05,31,46.60
2011-08-12,29,45.80
2011-08-19,30,44.29
2011-08-26,28,45.73
2011-09-02,28,46.62
2011-09-09,28,45.51
2011-09-16,30,46.95
2011-09-23,31,46.65
2011-09-30,28,46.16
2011-10-07,29,46.68
2011-10-14,31,47.49
2011-10-21,30,49.81
2011-10-28,30,49.62
2011-11-04,31,49.73
2011-11-11,36,49.55
2011-11-18,35,48.17
2011-11-25,30,47.44
2011-12-02,30,48.77
2011-12-09,31,49.79
2011-12-16,32,48.76
2011-12-23,33,50.34
2011-12-30,32,50.42
2012-01-06,30,50.38
2012-01-13,31,51.21
2012-01-20,29,51.51
2012-01-27,28,50.41
2012-02-03,27,51.24
2012-02-10,29,50.45
2012-02-17,29,50.78
2012-02-24,28,50.28
2012-03-02,32,50.80
2012-03-09,29,50.98
2012-03-16,28,51.73
2012-03-23,27,52.15
2012-03-30,28,54.43
2012-04-06,27,
2012-04-13,27,53.70
2012-04-20,26,55.41
2012-04-27,29,55.98
2012-05-04,28,55.79
2012-05-11,28,56.60
2012-05-18,27,56.43
2012-05-25,29,56.87
2012-06-01,27,55.20
2012-06-08,27,55.80
2012-06-15,26,57.76
2012-06-22,27,57.87
2012-06-29,26,60.65
2012-07-06,26,60.93
2012-07-13,30,60.90
2012-07-20,33,60.88
2012-07-27,33,61.27
2012-08-03,35,59.99
2012-08-10,38,60.16
2012-08-17,36,60.12
2012-08-24,35,61.10
2012-08-31,31,61.44
2012-09-07,31,63.00
2012-09-14,31,62.99
2012-09-21,29,63.16
2012-09-28,29,62.04
2012-10-05,28,62.64
2012-10-12,27,61.76
2012-10-19,27,61.64
2012-10-26,27,61.51
2012-11-02,27,61.48
2012-11-09,36,62.00
2012-11-16,33,63.55
2012-11-23,30,66.37
2012-11-30,30,64.56
2012-12-07,32,64.20
2012-12-14,31,64.42
2012-12-21,30,64.07
2012-12-28,29,62.64
2013-01-04,30,65.25
2013-01-11,28,65.07
2013-01-18,29,66.65
2013-01-25,28,61.87
2013-02-01,30,63.38
2013-02-08,27,63.63
2013-02-15,32,64.69
2013-02-22,31,66.20
2013-03-01,28,68.39
2013-03-08,27,70.20
2013-03-15,27,70.75
2013-03-22,27,72.19
2013-03-29,27,
2013-04-05,27,70.90
2013-04-12,27,71.72
2013-04-19,27,72.30
2013-04-26,30,71.20
2013-05-03,27,72.68
2013-05-10,27,73.08
2013-05-17,35,74.68
2013-05-24,30,73.83
2013-05-31,27,69.08
2013-06-07,27,70.92
2013-06-14,26,72.25
2013-06-21,27,71.44
2013-06-28,25,70.36
2013-07-05,25,69.68
2013-07-12,28,71.63
2013-07-19,28,73.07
2013-07-26,27,71.95
2013-08-02,28,72.74
2013-08-09,31,72.80
2013-08-16,29,70.69
2013-08-23,28,70.16
2013-08-30,29,67.65
2013-09-06,28,67.42
