Date,BMS,Price
2008-10-10,48,23.42
2008-10-17,45,22.65
2008-10-24,49,22.63
2008-10-31,45,24.84
2008-11-07,44,24.06
2008-11-14,52,24.18
2008-11-21,47,24.44
2008-11-28,46,27.02
2008-12-05,47,26.10
2008-12-12,52,25.04
2008-12-19,49,25.24
2008-12-26,40,24.25
2009-01-02,42,24.63
2009-01-09,46,23.61
2009-01-16,44,23.34
2009-01-23,49,23.12
2009-01-30,47,22.57
2009-02-06,46,23.01
2009-02-13,43,20.88
2009-02-20,46,19.14
2009-02-27,48,18.57
2009-03-06,49,17.23
2009-03-13,45,19.26
2009-03-20,51,20.09
2009-03-27,48,21.16
2009-04-03,45,21.81
2009-04-10,42,
2009-04-17,39,22.56
2009-04-24,41,24.18
2009-05-01,41,24.26
2009-05-08,45,25.79
2009-05-15,43,23.96
2009-05-22,43,23.82
2009-05-29,44,25.09
2009-06-05,51,25.59
2009-06-12,47,25.00
2009-06-19,48,24.12
2009-06-26,43,24.73
2009-07-03,40,
2009-07-10,46,24.66
2009-07-17,43,26.76
2009-07-24,43,26.39
2009-07-31,44,26.32
2009-08-07,45,26.91
2009-08-14,38,26.39
2009-08-21,37,26.92
2009-08-28,40,26.60
2009-09-04,38,26.01
2009-09-11,37,26.04
2009-09-18,40,27.42
2009-09-25,37,25.91
2009-10-02,38,25.12
2009-10-09,36,26.19
2009-10-16,35,26.53
2009-10-23,37,26.12
2009-10-30,38,25.83
2009-11-06,36,27.59
2009-11-13,35,28.43
2009-11-20,37,28.53
2009-11-27,36,28.76
2009-12-04,35,30.81
2009-12-11,37,30.49
2009-12-18,34,29.92
2009-12-25,30,
2010-01-01,28,
2010-01-08,36,30.56
2010-01-15,37,29.88
2010-01-22,39,28.70
2010-01-29,38,28.06
2010-02-05,37,27.84
2010-02-12,36,27.99
2010-02-19,36,28.51
2010-02-26,38,29.27
2010-03-05,37,29.46
2010-03-12,37,29.50
2010-03-19,36,29.15
2010-03-26,39,29.24
2010-04-02,41,
2010-04-09,38,29.88
2010-04-16,38,30.68
2010-04-23,39,31.57
2010-04-30,37,30.41
2010-05-07,38,27.70
2010-05-14,37,28.39
2010-05-21,39,28.77
2010-05-28,43,28.68
2010-06-04,39,27.95
2010-06-11,41,28.64
2010-06-18,38,29.35
2010-06-25,39,28.34
2010-07-02,37,27.08
2010-07-09,36,27.93
2010-07-16,38,28.14
2010-07-23,37,30.54
2010-07-30,37,29.96
2010-08-06,36,29.57
2010-08-13,36,28.97
2010-08-20,37,29.44
2010-08-27,37,29.39
2010-09-03,36,30.72
2010-09-10,35,30.70
2010-09-17,35,31.07
2010-09-24,39,31.47
2010-10-01,37,31.96
2010-10-08,36,33.52
2010-10-15,38,33.80
2010-10-22,40,33.52
2010-10-29,38,31.76
2010-11-05,37,31.74
2010-11-12,38,30.31
2010-11-19,38,30.84
2010-11-26,35,31.13
2010-12-03,37,32.75
2010-12-10,39,32.67
2010-12-17,36,33.10
2010-12-24,32,
2010-12-31,30,32.66
2011-01-07,42,32.32
2011-01-14,43,32.94
2011-01-21,44,32.21
2011-01-28,41,32.37
2011-02-04,38,32.68
2011-02-11,39,33.11
2011-02-18,35,33.15
2011-02-25,39,32.65
2011-03-04,37,32.72
2011-03-11,36,32.21
