Date,ED,Price
2008-10-10,66,37.61
2008-10-17,66,39.15
2008-10-24,62,40.21
2008-10-31,64,43.32
2008-11-07,61,42.13
2008-11-14,67,39.19
2008-11-21,69,40.00
2008-11-28,63,40.39
2008-12-05,69,38.97
2008-12-12,72,38.88
2008-12-19,68,38.64
2008-12-26,64,38.31
2009-01-02,64,39.26
2009-01-09,67,39.66
2009-01-16,68,40.07
2009-01-23,65,40.05
2009-01-30,66,40.75
2009-02-06,66,41.28
2009-02-13,64,39.37
2009-02-20,61,37.54
2009-02-27,66,36.21
2009-03-06,66,33.94
2009-03-13,65,35.06
2009-03-20,66,37.79
2009-03-27,68,38.38
2009-04-03,66,39.25
2009-04-10,66,
2009-04-17,65,38.76
2009-04-24,65,37.45
2009-05-01,65,37.37
2009-05-08,65,37.58
2009-05-15,65,34.86
2009-05-22,62,34.60
2009-05-29,64,35.46
2009-06-05,64,35.78
2009-06-12,64,37.08
2009-06-19,65,36.79
2009-06-26,100,37.04
2009-07-03,72,
2009-07-10,65,36.63
2009-07-17,70,37.39
2009-07-24,67,39.01
2009-07-31,80,39.36
2009-08-07,71,39.86
2009-08-14,72,40.64
2009-08-21,69,40.50
2009-08-28,71,40.39
2009-09-04,67,39.87
2009-09-11,64,39.63
2009-09-18,66,41.48
2009-09-25,63,41.07
2009-10-02,61,40.35
2009-10-09,65,41.09
2009-10-16,63,41.33
2009-10-23,61,41.81
2009-10-30,58,40.68
2009-11-06,61,41.53
2009-11-13,62,42.46
2009-11-20,60,41.90
2009-11-27,59,42.44
2009-12-04,63,44.05
2009-12-11,61,45.18
2009-12-18,60,45.37
2009-12-25,58,
2010-01-01,59,
2010-01-08,61,45.25
2010-01-15,61,45.72
2010-01-22,61,43.51
2010-01-29,59,43.74
2010-02-05,59,43.18
2010-02-12,60,42.22
2010-02-19,57,43.13
2010-02-26,58,42.75
2010-03-05,59,43.62
2010-03-12,57,43.70
2010-03-19,56,44.30
2010-03-26,58,44.18
2010-04-02,57,
2010-04-09,57,44.85
2010-04-16,58,44.54
2010-04-23,58,45.41
2010-04-30,59,45.20
2010-05-07,58,44.34
2010-05-14,61,44.44
2010-05-21,59,43.29
2010-05-28,55,42.59
2010-06-04,56,41.66
2010-06-11,56,43.13
2010-06-18,54,44.89
2010-06-25,54,43.84
2010-07-02,52,43.19
2010-07-09,54,45.27
2010-07-16,55,45.06
2010-07-23,58,46.30
2010-07-30,56,46.12
2010-08-06,57,47.57
2010-08-13,57,47.55
2010-08-20,57,46.70
