Date,buy GPS,Price
2008-10-10,32,13.82
2008-10-17,34,13.42
2008-10-24,33,11.21
2008-10-31,27,12.94
2008-11-07,32,12.82
2008-11-14,39,11.55
2008-11-21,47,12.10
2008-11-28,88,13.02
2008-12-05,67,14.01
2008-12-12,68,13.19
2008-12-19,72,13.57
2008-12-26,79,12.97
2009-01-02,51,14.07
2009-01-09,37,12.99
2009-01-16,31,12.14
2009-01-23,31,12.00
2009-01-30,29,11.28
2009-02-06,33,11.94
2009-02-13,29,11.62
2009-02-20,31,11.55
2009-02-27,29,10.79
2009-03-06,32,9.85
2009-03-13,31,11.99
2009-03-20,28,11.98
2009-03-27,28,13.06
2009-04-03,32,15.25
2009-04-10,32,
2009-04-17,30,15.12
2009-04-24,31,15.28
2009-05-01,33,15.77
2009-05-08,40,16.55
2009-05-15,35,15.16
2009-05-22,34,16.39
2009-05-29,37,17.85
2009-06-05,38,16.63
2009-06-12,42,16.37
2009-06-19,46,15.80
2009-06-26,35,16.06
2009-07-03,41,
2009-07-10,39,14.96
2009-07-17,41,16.17
2009-07-24,44,15.94
2009-07-31,41,16.32
2009-08-07,39,18.58
2009-08-14,42,18.78
2009-08-21,38,19.48
2009-08-28,34,19.93
2009-09-04,34,21.12
2009-09-11,27,21.60
2009-09-18,34,22.02
2009-09-25,31,21.48
2009-10-02,29,20.81
2009-10-09,30,22.24
2009-10-16,28,22.96
2009-10-23,31,22.02
2009-10-30,29,21.34
2009-11-06,30,23.03
2009-11-13,33,22.42
2009-11-20,43,21.95
2009-11-27,93,22.03
2009-12-04,58,21.77
2009-12-11,53,21.46
2009-12-18,58,20.89
2009-12-25,63,
2010-01-01,50,
2010-01-08,29,20.40
2010-01-15,26,19.56
2010-01-22,26,18.86
2010-01-29,25,19.08
2010-02-05,22,19.88
2010-02-12,24,19.95
2010-02-19,23,19.85
2010-02-26,27,21.50
2010-03-05,26,22.32
2010-03-12,28,22.80
2010-03-19,25,23.22
2010-03-26,28,23.42
2010-04-02,27,
2010-04-09,27,24.85
2010-04-16,28,25.00
2010-04-23,29,26.06
2010-04-30,34,24.73
2010-05-07,31,22.27
2010-05-14,32,22.96
2010-05-21,27,22.15
2010-05-28,33,21.80
2010-06-04,31,20.96
2010-06-11,33,21.99
2010-06-18,36,21.24
2010-06-25,35,20.20
2010-07-02,32,19.48
2010-07-09,32,18.53
2010-07-16,35,18.13
2010-07-23,35,18.41
2010-07-30,32,18.11
2010-08-06,37,18.28
2010-08-13,33,17.67
2010-08-20,31,17.32
2010-08-27,28,17.03
2010-09-03,30,17.65
2010-09-10,28,17.37
2010-09-17,26,18.91
2010-09-24,24,18.83
2010-10-01,27,18.51
2010-10-08,25,18.21
2010-10-15,24,19.52
2010-10-22,24,19.15
2010-10-29,22,19.01
2010-11-05,23,20.81
2010-11-12,26,20.49
2010-11-19,33,20.70
2010-11-26,53,20.90
2010-12-03,42,21.44
2010-12-10,43,21.48
2010-12-17,45,21.19
2010-12-24,43,
2010-12-31,30,22.14
2011-01-07,25,20.51
2011-01-14,21,20.41
2011-01-21,21,20.10
2011-01-28,19,19.20
2011-02-04,20,20.10
2011-02-11,21,21.40
2011-02-18,23,23.05
2011-02-25,18,22.75
2011-03-04,19,21.59
2011-03-11,22,21.97
2011-03-18,21,21.87
2011-03-25,22,22.56
2011-04-01,22,22.63
2011-04-08,25,22.25
2011-04-15,23,22.47
2011-04-22,23,
2011-04-29,22,23.24
2011-05-06,21,22.60
2011-05-13,22,23.05
2011-05-20,24,19.22
2011-05-27,23,19.20
2011-06-03,26,17.92
2011-06-10,24,17.72
2011-06-17,29,17.83
2011-06-24,25,17.66
2011-07-01,24,18.28
2011-07-08,27,18.98
2011-07-15,27,18.91
2011-07-22,22,19.66
2011-07-29,29,19.29
2011-08-05,25,16.75
2011-08-12,25,16.49
2011-08-19,25,15.69
2011-08-26,25,16.28
2011-09-02,24,15.60
2011-09-09,23,16.00
2011-09-16,23,17.04
2011-09-23,22,16.31
2011-09-30,20,16.24
2011-10-07,19,17.30
2011-10-14,19,17.78
2011-10-21,19,18.71
2011-10-28,20,19.33
2011-11-04,18,19.65
2011-11-11,22,20.33
2011-11-18,24,18.76
2011-11-25,45,17.62
2011-12-02,34,18.70
2011-12-09,31,18.85
2011-12-16,33,18.30
2011-12-23,34,18.61
2011-12-30,27,18.55
2012-01-06,23,18.00
2012-01-13,18,18.26
2012-01-20,16,18.63
2012-01-27,18,18.93
2012-02-03,19,21.71
2012-02-10,18,21.59
2012-02-17,21,22.72
2012-02-24,20,22.57
2012-03-02,18,24.41
2012-03-09,18,25.00
2012-03-16,19,25.39
2012-03-23,18,26.46
2012-03-30,17,26.14
2012-04-06,18,
