Date,KIM,Price
2008-10-10,29,29.78
2008-10-17,24,24.63
2008-10-24,24,18.50
2008-10-31,24,22.58
2008-11-07,24,21.01
2008-11-14,24,17.25
2008-11-21,25,11.28
2008-11-28,25,14.15
2008-12-05,26,16.28
2008-12-12,24,15.99
2008-12-19,25,18.85
2008-12-26,26,18.50
2009-01-02,30,18.20
2009-01-09,27,17.90
2009-01-16,26,17.07
2009-01-23,26,15.61
2009-01-30,26,14.38
2009-02-06,27,13.38
2009-02-13,26,10.40
2009-02-20,26,10.01
2009-02-27,27,8.85
2009-03-06,26,7.01
2009-03-13,28,9.18
2009-03-20,28,7.30
2009-03-27,32,7.65
2009-04-03,30,9.40
2009-04-10,31,
2009-04-17,31,11.08
2009-04-24,28,11.67
2009-05-01,30,11.15
2009-05-08,29,12.09
2009-05-15,27,10.06
2009-05-22,28,11.00
2009-05-29,30,11.69
2009-06-05,28,12.40
2009-06-12,29,11.35
2009-06-19,26,10.17
2009-06-26,27,9.97
2009-07-03,26,
2009-07-10,29,8.61
2009-07-17,30,8.22
2009-07-24,27,9.16
2009-07-31,31,9.84
2009-08-07,31,12.03
2009-08-14,35,11.16
2009-08-21,32,12.05
2009-08-28,28,12.69
2009-09-04,29,11.69
2009-09-11,31,13.04
2009-09-18,32,14.94
2009-09-25,27,13.02
2009-10-02,27,11.73
2009-10-09,29,12.70
2009-10-16,27,13.16
2009-10-23,27,13.66
2009-10-30,27,12.64
2009-11-06,28,11.95
2009-11-13,28,12.45
2009-11-20,30,12.40
2009-11-27,27,11.85
2009-12-04,29,13.59
2009-12-11,27,12.50
2009-12-18,29,12.83
2009-12-25,31,
2010-01-01,34,
2010-01-08,31,13.93
2010-01-15,30,13.62
2010-01-22,30,13.04
2010-01-29,30,12.62
2010-02-05,30,12.97
2010-02-12,33,12.82
2010-02-19,30,13.71
2010-02-26,38,13.89
2010-03-05,32,14.61
2010-03-12,29,15.12
2010-03-19,30,15.57
2010-03-26,33,16.10
2010-04-02,38,
2010-04-09,35,16.40
2010-04-16,33,15.13
2010-04-23,40,15.75
2010-04-30,34,15.59
2010-05-07,32,15.01
2010-05-14,31,15.73
2010-05-21,30,14.28
2010-05-28,32,14.30
2010-06-04,32,13.31
2010-06-11,32,14.54
2010-06-18,35,15.17
2010-06-25,33,14.69
2010-07-02,32,13.03
2010-07-09,33,13.60
2010-07-16,33,13.37
2010-07-23,35,14.73
2010-07-30,33,15.07
2010-08-06,36,15.06
2010-08-13,36,14.58
2010-08-20,39,14.38
2010-08-27,37,14.95
2010-09-03,34,15.85
2010-09-10,37,15.55
2010-09-17,37,16.14
2010-09-24,35,16.65
2010-10-01,33,15.79
2010-10-08,32,16.82
2010-10-15,41,17.03
2010-10-22,39,17.33
2010-10-29,35,17.21
2010-11-05,38,18.08
2010-11-12,33,16.94
2010-11-19,32,16.37
2010-11-26,38,16.62
2010-12-03,41,17.28
2010-12-10,36,17.15
2010-12-17,34,16.91
2010-12-24,39,
2010-12-31,43,18.04
2011-01-07,43,18.07
2011-01-14,39,18.08
2011-01-21,44,17.71
2011-01-28,41,17.83
2011-02-04,50,18.38
2011-02-11,47,18.56
2011-02-18,41,18.79
2011-02-25,39,18.88
2011-03-04,40,18.19
2011-03-11,37,18.05
2011-03-18,33,17.68
2011-03-25,33,17.75
2011-04-01,33,17.91
2011-04-08,34,17.54
2011-04-15,33,18.05
2011-04-22,33,
2011-04-29,32,19.54
2011-05-06,32,19.07
2011-05-13,32,18.98
2011-05-20,31,18.98
2011-05-27,44,19.16
2011-06-03,37,18.68
2011-06-10,36,17.23
2011-06-17,37,17.73
2011-06-24,37,18.08
2011-07-01,36,18.73
2011-07-08,33,19.50
2011-07-15,33,19.35
2011-07-22,34,20.30
2011-07-29,35,19.03
2011-08-05,34,16.09
2011-08-12,35,16.86
2011-08-19,41,16.20
2011-08-26,77,16.63
2011-09-02,48,16.63
2011-09-09,40,16.19
2011-09-16,35,16.93
2011-09-23,35,15.22
2011-09-30,34,15.03
2011-10-07,33,14.58
2011-10-14,38,15.49
2011-10-21,38,16.32
2011-10-28,36,17.90
2011-11-04,87,17.32
2011-11-11,49,16.30
2011-11-18,41,15.76
2011-11-25,37,14.72
2011-12-02,41,15.59
2011-12-09,37,16.04
2011-12-16,40,16.13
2011-12-23,84,16.90
2011-12-30,48,16.24
2012-01-06,46,16.45
2012-01-13,41,17.22
2012-01-20,42,18.12
2012-01-27,48,18.36
2012-02-03,42,18.89
2012-02-10,41,18.39
2012-02-17,40,18.77
2012-02-24,40,18.70
2012-03-02,38,18.77
2012-03-09,35,18.17
2012-03-16,37,19.61
2012-03-23,39,19.20
2012-03-30,36,19.26
2012-04-06,38,
2012-04-13,37,18.11
2012-04-20,38,18.80
2012-04-27,38,19.35
2012-05-04,40,19.49
2012-05-11,36,19.61
2012-05-18,37,17.79
2012-05-25,36,18.09
2012-06-01,38,17.45
2012-06-08,37,18.45
2012-06-15,44,18.63
2012-06-22,42,18.44
2012-06-29,37,19.03
2012-07-06,38,19.25
