Date,AON,Price
2004-01-09,56,
2004-01-16,48,
2004-01-23,56,
2004-01-30,54,
2004-02-06,53,24.58
2004-02-13,55,25.79
2004-02-20,50,26.29
2004-02-27,51,26.23
2004-03-05,45,27.12
2004-03-12,35,26.82
2004-03-19,45,26.85
2004-03-26,44,27.77
2004-04-02,52,28.17
2004-04-09,56,
2004-04-16,57,28.44
2004-04-23,53,27.82
2004-04-30,51,26.06
2004-05-07,51,25.44
2004-05-14,46,25.81
2004-05-21,49,26.41
2004-05-28,52,27.63
2004-06-04,52,28.34
2004-06-11,58,
2004-06-18,52,28.41
2004-06-25,52,28.40
2004-07-02,53,28.15
2004-07-09,47,27.30
2004-07-16,57,26.90
2004-07-23,60,25.93
2004-07-30,51,26.44
2004-08-06,46,25.12
2004-08-13,45,24.59
2004-08-20,51,25.45
2004-08-27,53,25.73
2004-09-03,49,26.64
2004-09-10,52,27.44
2004-09-17,52,27.64
2004-09-24,43,28.02
2004-10-01,59,28.80
2004-10-08,51,28.19
2004-10-15,62,21.74
2004-10-22,68,19.80
2004-10-29,62,20.41
2004-11-05,59,20.60
2004-11-12,50,20.66
2004-11-19,55,20.45
2004-11-26,51,21.02
2004-12-03,53,22.26
2004-12-10,49,22.56
2004-12-17,53,23.25
2004-12-24,44,
2004-12-31,46,23.86
2005-01-07,53,22.83
2005-01-14,64,22.90
2005-01-21,54,22.40
2005-01-28,60,21.68
2005-02-04,54,22.52
2005-02-11,56,25.24
2005-02-18,51,24.56
2005-02-25,57,24.74
2005-03-04,51,24.45
2005-03-11,62,23.81
2005-03-18,49,22.80
2005-03-25,53,
2005-04-01,54,22.53
2005-04-08,51,22.65
2005-04-15,51,21.42
2005-04-22,62,21.51
2005-04-29,55,20.85
2005-05-06,54,24.22
2005-05-13,54,23.99
2005-05-20,49,24.81
2005-05-27,51,25.00
2005-06-03,54,24.69
2005-06-10,55,24.70
2005-06-17,55,24.84
2005-06-24,61,24.35
2005-07-01,54,25.17
2005-07-08,59,25.50
2005-07-15,57,25.85
2005-07-22,65,25.48
2005-07-29,48,25.44
2005-08-05,52,29.14
2005-08-12,55,29.50
2005-08-19,52,29.56
2005-08-26,57,29.18
2005-09-02,45,30.63
2005-09-09,49,31.21
2005-09-16,56,31.66
2005-09-23,61,32.14
2005-09-30,57,32.08
2005-10-07,58,31.81
2005-10-14,51,31.10
2005-10-21,57,32.76
2005-10-28,57,33.87
2005-11-04,62,35.90
2005-11-11,57,35.51
2005-11-18,58,36.90
2005-11-25,53,36.35
2005-12-02,54,36.63
2005-12-09,54,36.13
2005-12-16,63,36.15
2005-12-23,55,36.19
2005-12-30,47,35.95
2006-01-06,64,36.95
2006-01-13,80,37.45
2006-01-20,61,36.22
2006-01-27,61,35.88
2006-02-03,60,33.70
2006-02-10,56,38.11
2006-02-17,58,39.05
2006-02-24,62,39.78
2006-03-03,52,39.86
2006-03-10,50,40.14
2006-03-17,52,41.19
2006-03-24,52,41.81
2006-03-31,54,41.51
2006-04-07,51,40.68
2006-04-14,52,
2006-04-21,50,41.82
2006-04-28,50,41.91
2006-05-05,50,37.84
2006-05-12,51,36.50
2006-05-19,52,36.33
2006-05-26,47,36.60
2006-06-02,58,36.03
2006-06-09,54,34.34
2006-06-16,53,34.22
2006-06-23,54,34.35
2006-06-30,50,34.82
2006-07-07,49,34.42
2006-07-14,58,32.98
2006-07-21,52,33.17
2006-07-28,52,34.39
2006-08-04,50,31.90
2006-08-11,53,33.51
2006-08-18,49,33.98
2006-08-25,54,33.89
2006-09-01,49,34.11
2006-09-08,48,34.04
2006-09-15,52,34.41
2006-09-22,54,33.92
2006-09-29,58,33.87
2006-10-06,57,34.05
2006-10-13,51,35.80
